date,open,high,low,close,volume
2015-10-27,115.4000,116.5400,113.9900,114.5500,69884400
2015-10-28,116.9300,119.3000,116.0600,119.2700,85551352
2015-10-29,118.7000,120.6900,118.2700,120.5300,51227334
2015-10-30,120.9900,121.2200,119.4500,119.5000,49365254
2015-11-02,119.8700,121.3600,119.6100,121.1800,32203267
2015-11-03,120.7900,123.4900,120.7000,122.5700,45518976
2015-11-04,123.1300,123.8200,121.6200,122.0000,44886050
2015-11-05,121.8500,122.6900,120.1800,120.9200,39552680
2015-11-06,121.1100,121.8100,120.6200,121.0600,33042283
2015-11-09,120.9600,121.8100,120.0500,120.5700,33871405
2015-11-10,116.9000,118.0700,116.0610,116.7700,59127931
2015-11-11,116.3700,117.4200,115.2100,116.1100,45217971
2015-11-12,116.2600,116.8200,115.6500,115.7200,32525579
2015-11-13,115.2000,115.5700,112.2700,112.3400,45812403
2015-11-16,111.3800,114.2400,111.0000,114.1750,38106701
2015-11-17,114.9200,115.0500,113.3200,113.6900,27583101
2015-11-18,115.7600,117.4900,115.5000,117.2900,46674697
2015-11-19,117.6400,119.7500,116.7600,118.7800,43295820
2015-11-20,119.2000,119.9200,118.8500,119.3000,34287096
2015-11-23,119.2700,119.7300,117.3400,117.7500,32482528
2015-11-24,117.3300,119.3500,117.1200,118.8800,42803172
2015-11-25,119.2100,119.2300,117.9200,118.0300,21388308
2015-11-27,118.2900,118.4100,117.6000,117.8100,13046445
2015-11-30,117.9900,119.4100,117.7500,118.3000,39180322
2015-12-01,118.7500,118.8100,116.8600,117.3400,34852374
2015-12-02,117.0500,118.1100,116.0800,116.2800,33386563
2015-12-03,116.5500,116.7900,114.2200,115.2000,41569509
2015-12-04,115.2900,119.2500,115.1100,119.0300,57776977
2015-12-07,118.9800,119.8600,117.8100,118.2800,32084249
2015-12-08,117.5200,118.6000,116.8600,118.2300,34309450
2015-12-09,117.6400,117.6900,115.0800,115.6200,46361357
2015-12-10,116.0400,116.9400,115.5100,116.1700,29212727
2015-12-11,115.1900,115.3900,112.8510,113.1800,46886161
2015-12-14,112.1800,112.6800,109.7900,112.4800,65003609
2015-12-15,111.9400,112.8000,110.3500,110.4900,53323105
2015-12-16,111.0700,111.9900,108.8000,111.3400,56238467
2015-12-17,112.0200,112.2500,108.9800,108.9800,44772827
2015-12-18,108.9100,109.5200,105.8100,106.0300,96453327
