date,open,high,low,close,volume
2015-10-27,608.6000,614.7100,605.5300,611.0100,3787136
2015-10-28,612.3000,617.2300,609.5000,617.1000,3926200
2015-10-29,617.7000,627.5400,615.3900,626.5500,3896026
2015-10-30,626.0100,630.7200,625.2800,625.9000,3874363
2015-11-02,627.1300,628.6300,620.4100,628.3500,2816479
2015-11-03,629.5300,629.8900,622.0000,625.3100,3246910
2015-11-04,627.7600,645.9300,627.3500,640.9500,4840501
2015-11-05,647.1000,657.0000,643.0901,655.6500,4723825
2015-11-06,655.0000,662.2600,652.0000,659.3700,4092165
2015-11-09,658.6500,661.9550,647.8477,655.4900,4048823
2015-11-10,651.0100,660.0000,647.2620,659.6800,3489483
2015-11-11,663.2500,675.9600,663.2500,673.2500,5387309
2015-11-12,673.0000,675.6400,664.2200,665.6000,4284678
2015-11-13,663.5700,667.0000,640.4500,642.3500,6261076
2015-11-16,640.9200,649.9900,622.2900,647.8100,7435934
2015-11-17,650.6500,653.2500,641.0000,643.3000,4316843
2015-11-18,646.5100,664.8800,646.3700,663.5400,4469769
2015-11-19,664.9900,672.8600,659.0000,661.2700,4705237
2015-11-20,667.9400,668.8700,657.5700,668.4500,3896135
2015-11-23,671.5000,682.7700,668.4500,678.9900,4385057
2015-11-24,674.1400,675.8000,661.2125,671.1500,4543417
2015-11-25,675.0000,679.7000,671.2400,675.3400,2697889
2015-11-27,680.8000,680.9900,672.1000,673.2600,1966801
2015-11-30,675.9000,681.2900,664.6000,664.8000,5693172
2015-12-01,673.7500,681.0000,667.8600,679.0600,4751152
2015-12-02,681.0000,684.8200,674.2500,676.0100,4273526
2015-12-03,679.4400,682.7900,661.4800,666.2500,5064736
2015-12-04,666.0000,674.7750,661.4000,672.6400,4534796
2015-12-07,674.7400,675.4600,660.5000,669.8300,3732814
2015-12-08,663.1300,679.9900,659.7900,677.3300,3651908
2015-12-09,678.0000,679.0000,655.6800,664.7900,5158172
2015-12-10,665.5900,668.5260,659.5600,662.3200,3455472
2015-12-11,651.2300,657.8800,639.6200,640.1500,5474420
2015-12-14,641.7500,658.5850,635.2700,657.9100,4361273
2015-12-15,665.0300,671.5000,657.3500,658.6400,4753415
2015-12-16,663.5600,677.3500,659.3200,675.7700,3964470
2015-12-17,680.0000,682.5000,670.6500,670.6500,3681645
2015-12-18,668.6500,676.8400,664.1300,664.1400,6841304
2015-12-21,668.5000,669.9000,658.9300,664.5100,3250900
2015-12-22,666.8300,668.4900,659.2600,663.1500,2667795
2015-12-23,666.5000,666.5970,656.6300,663.7000,2722922
2015-12-24,663.3500,664.6800,660.6000,662.7900,1092970
2015-12-28,665.5600,675.5000,665.5000,675.2000,3783555
2015-12-29,677.9800,696.4400,677.8893,693.9700,5734996
2015-12-30,691.8900,695.4900,686.3750,689.0700,3519003
2015-12-31,686.0800,687.7500,675.8900,675.8900,3749560
2016-01-04,656.2900,657.7150,627.5100,636.9900,9314519
2016-01-05,646.8600,646.9100,627.6500,633.7900,5822603
2016-01-06,622.0000,639.7900,620.3100,632.6500,5329197
2016-01-07,621.8000,630.0000,605.2100,607.9400,7074915
