date,open,high,low,close,volume
2015-10-27,123.0900,125.1500,120.9400,121.4900,3228023
2015-10-28,124.7900,127.8500,123.7000,127.0900,3096584
2015-10-29,121.0000,124.1600,118.7200,120.0900,6158178
2015-10-30,120.8500,124.0200,120.1700,123.1300,2551618
2015-11-02,123.6600,125.2050,122.4600,123.8000,2606780
2015-11-03,121.4800,124.9500,121.4800,122.1400,2622248
2015-11-04,122.5000,124.8600,120.0600,124.1100,4309796
2015-11-05,124.9100,125.0000,120.6000,121.0600,2830793
2015-11-06,123.2500,129.7900,123.2300,129.6700,4528677
2015-11-09,128.3700,128.9400,125.7100,126.5000,2825012
2015-11-10,123.1100,124.0800,119.7700,119.8600,4475924
2015-11-11,120.2100,122.7000,119.8200,119.9500,2595841
2015-11-12,120.2100,121.4100,118.9200,119.8500,2658754
2015-11-13,119.0000,119.8900,115.2100,117.5400,3982433
2015-11-16,117.4700,121.7700,117.0800,121.4700,2779556
2015-11-17,121.4600,123.6800,121.0000,122.0600,1986829
2015-11-18,121.9200,126.1000,121.6000,125.9200,2027043
2015-11-19,126.1000,126.1300,123.0100,125.2100,3279096
2015-11-20,126.2100,126.6700,123.7300,126.4000,2805741
2015-11-23,126.7500,126.7500,124.2100,124.4100,1600330
2015-11-24,123.4100,128.5900,123.4100,128.3400,3565884
2015-11-25,129.0000,129.1700,127.6600,128.3900,2139595
2015-11-27,128.6300,130.4500,127.8600,130.0400,1326156
2015-11-30,129.4300,130.7000,127.1200,130.4500,3261477
2015-12-01,131.1700,133.7700,130.9100,132.8900,4325498
2015-12-02,133.0700,135.0000,131.5400,132.2100,5436395
2015-12-03,144.8600,146.8600,142.8800,144.7800,12066113
2015-12-04,144.8000,147.8900,143.2400,147.5600,6032923
2015-12-07,146.6900,149.7200,145.5500,148.8300,4476940
2015-12-08,146.8400,148.5900,145.7700,147.7800,3456001
2015-12-09,147.1400,148.0000,144.4200,145.6500,3080268
2015-12-10,146.1100,149.4400,145.1900,147.3300,3307833
2015-12-11,144.6200,147.7200,144.3000,144.4200,2777695
2015-12-14,144.1400,145.3599,141.2400,142.5100,3706972
2015-12-15,142.6800,144.2300,141.3100,143.2700,3539795
2015-12-16,143.1700,144.2799,140.4000,143.8800,2964384
2015-12-17,144.9300,145.5000,140.4100,140.4800,2437829
2015-12-18,140.2300,141.9050,138.5500,140.2000,5196366
2015-12-21,143.1000,146.0000,141.8600,145.8000,2662659
2015-12-22,147.2300,147.2300,142.7600,145.1000,2168429
2015-12-23,146.0200,146.6600,144.3900,146.5100,1617039
2015-12-24,146.4100,147.2850,145.7200,146.3200,743630
2015-12-28,145.9000,146.4000,143.9300,146.3500,1387585
2015-12-29,147.0000,148.7800,145.0100,147.9400,2253573
2015-12-30,147.5100,148.8900,147.1200,147.3700,1739558
2015-12-31,146.5800,147.5000,145.1200,145.1500,1967344
2016-01-04,142.0700,142.3500,139.8800,142.2800,3096976
2016-01-05,143.1400,143.3000,137.2100,137.5200,3817993
2016-01-06,134.5700,136.0600,132.2800,133.2900,5082351
2016-01-07,131.3100,133.7700,128.1900,129.0500,5005631
2016-01-08,130.0300,133.4600,128.0600,128.2000,6464148
2016-01-11,129.5000,129.9700,125.4200,128.0400,3894076
2016-01-12,129.8600,131.6700,126.8550,129.9200,4111206
2016-01-13,127.7500,129.9800,123.0800,123.3100,4846963
2016-01-14,124.1900,126.6799,120.2900,125.1900,6394241
2016-01-15,120.2100,123.7900,119.3000,119.9700,7591645
2016-01-19,122.7600,124.8000,119.0100,120.0700,5477260
2016-01-20,117.8300,125.5800,117.1700,123.8300,10398813
2016-01-21,124.8000,126.0000,123.3500,124.5300,4848109
2016-01-22,126.4800,126.4800,124.2300,124.5100,5843070
2016-01-25,124.4300,124.9800,124.0000,124.4900,6135937
2016-01-26,125.0000,126.5075,124.0000,124.3900,11913374
2016-01-27,123.6500,125.4100,120.0900,122.3500,5815600
2016-01-28,122.9400,126.5500,122.0000,126.3700,4996916
2016-01-29,129.4400,134.3400,128.1100,133.7100,25944857
2016-02-01,133.3400,138.6900,132.9600,137.6800,4561892
2016-02-02,135.0100,137.5900,131.7000,133.2400,5900471
2016-02-03,137.2500,137.6100,130.2900,131.3600,5623382
2016-02-04,131.4000,137.2700,130.5000,136.1200,6083322
2016-02-05,137.0000,137.0000,126.9800,128.3600,7095317
2016-02-08,126.9900,126.9900,119.2200,121.8600,9124221
2016-02-09,119.8300,125.7200,118.7700,119.7100,6340018
2016-02-10,122.4900,123.6700,118.6500,119.2000,4547274
2016-02-11,116.5000,117.6400,114.2500,116.3100,6667322
2016-02-12,117.7600,122.3300,115.7300,121.6600,3996513
2016-02-16,123.2700,126.7900,122.9500,126.2400,3852097
2016-02-17,127.0000,130.8200,126.7300,130.6800,3274208
2016-02-18,131.7600,131.9910,126.0800,127.0700,3920177
2016-02-19,127.0500,128.7900,125.0000,128.6700,3111806
2016-02-22,130.0000,132.4300,129.4900,130.6400,2420365
