date,open,high,low,close,volume
2015-10-27,136.4000,136.6700,135.0700,135.6300,2278331
2015-10-28,135.8000,138.4100,135.4837,138.1600,3244365
2015-10-29,138.1000,138.5000,137.2300,137.8900,2089095
2015-10-30,137.5600,137.8700,136.0200,136.0200,4228212
2015-11-02,136.7700,138.6200,136.3300,138.4000,3259649
2015-11-03,138.3000,138.4799,137.7100,137.9400,2618244
2015-11-04,138.0000,138.0800,137.0600,137.4300,2605778
2015-11-05,137.4800,138.0300,136.3200,136.5700,2461300
2015-11-06,136.4400,137.1900,135.1401,136.3300,3731440
2015-11-09,136.0000,136.1900,133.4000,134.0000,4884115
2015-11-10,134.0000,134.7300,133.6400,134.7300,2932373
2015-11-11,134.9400,135.2000,134.1200,134.9600,2063737
2015-11-12,134.4600,134.6300,132.7700,132.7800,3789761
2015-11-13,132.6100,133.5650,131.7400,131.9600,3589148
2015-11-16,131.8200,133.3100,131.4700,133.3000,2965484
2015-11-17,133.8500,133.9300,132.6800,133.0900,2882117
2015-11-18,133.4700,136.3800,133.2700,136.2200,3771374
2015-11-19,136.1900,136.8700,135.8300,136.6300,2755661
2015-11-20,137.3400,137.4200,135.9600,136.6300,2921332
2015-11-23,136.2900,136.7800,135.8400,135.9900,2469522
2015-11-24,135.0900,135.8800,134.1150,135.5400,2759326
2015-11-25,135.4800,136.0000,134.8400,135.1300,2137439
2015-11-27,135.3000,135.5800,134.4500,134.6300,1243111
2015-11-30,134.8200,135.0900,133.8200,134.0900,5087314
2015-12-01,134.8600,136.5700,134.3600,136.4300,3797602
2015-12-02,136.5000,136.7400,135.1000,135.2700,3710682
2015-12-03,135.3300,135.5400,132.2900,132.6600,4377885
2015-12-04,133.0900,136.5200,133.0000,136.4800,5518238
2015-12-07,136.2000,136.4500,134.6800,135.6000,2794901
2015-12-08,134.9000,134.9900,133.1700,133.3600,4055582
2015-12-09,133.1800,134.1500,131.2000,131.7100,4062855
2015-12-10,131.7200,132.6200,131.1900,131.7100,3463531
2015-12-11,130.3100,130.9100,129.5600,130.3100,5481736
2015-12-14,130.5000,132.2300,130.1100,132.0200,4418030
2015-12-15,133.2500,135.6400,132.7600,134.8800,4703296
2015-12-16,135.4900,136.1225,133.1000,135.8800,4929312
2015-12-17,135.7100,136.1600,133.9000,133.9700,3595941
2015-12-18,133.0400,133.1700,129.5300,129.5300,8760354
2015-12-21,131.1600,131.6900,129.6500,131.1900,4308420
2015-12-22,131.5500,133.3300,131.0400,133.1400,3713856
2015-12-23,133.3500,134.4300,133.2000,134.1500,3481793
2015-12-24,134.1200,134.5500,133.4800,133.8900,1367520
2015-12-28,133.4800,133.5400,132.5200,133.1200,2382786
2015-12-29,134.0000,134.5500,133.0000,134.1400,3134451
2015-12-30,133.9200,134.1200,133.0600,133.2600,2684297
2015-12-31,133.0000,133.3700,131.9500,132.0400,3405169
2016-01-04,130.1600,131.0300,128.7600,130.7500,6868657
2016-01-05,130.7500,131.5300,129.8100,131.2500,4084410
2016-01-06,129.9900,131.7600,129.7250,131.3300,5218940
2016-01-07,129.2500,130.5400,129.0000,129.4800,7381763
2016-01-08,130.1100,130.4000,128.2050,128.3300,6100979
2016-01-11,128.9200,129.2300,127.0400,128.3600,4352178
2016-01-12,129.1100,129.4300,127.5200,128.8000,4718523
2016-01-13,128.9700,129.3801,125.7100,126.2500,6042403
2016-01-14,126.4100,128.9900,126.0100,128.0700,6125061
2016-01-15,125.3400,126.8100,124.5100,126.1400,8144999
2016-01-19,126.8600,128.2700,126.7700,127.7600,5831542
