date,open,high,low,close,volume
2015-10-27,157.2700,158.3000,155.5600,157.7600,1675064
2015-10-28,157.5000,157.9300,155.5100,157.7600,1778775
2015-10-29,157.0600,158.3800,156.5300,158.2800,1546971
2015-10-30,158.0000,159.4000,157.3000,158.1200,2050031
2015-11-02,158.9900,159.3100,157.6500,159.1500,1260658
2015-11-03,158.4000,159.2200,157.3800,158.8000,1531102
2015-11-04,159.0000,159.0250,156.9000,157.1500,1653072
2015-11-05,154.1500,156.8100,154.0200,156.2700,2550323
2015-11-06,156.4900,157.9600,155.6700,157.5500,1749784
2015-11-09,156.8100,157.1000,153.8900,155.1600,2291054
2015-11-10,155.1300,156.4600,154.6000,156.4100,1701804
2015-11-11,155.9800,157.4300,155.1800,156.3900,1865640
2015-11-12,156.1200,156.9800,155.3964,156.0000,1657385
2015-11-13,155.0700,155.2500,153.2300,153.6700,2459917
2015-11-16,153.8100,156.4700,153.2400,156.4500,1778398
2015-11-17,157.3500,159.9200,157.0200,158.8900,2499561
2015-11-18,158.8900,161.4000,157.8250,161.2500,2152039
2015-11-19,161.6900,163.2000,161.4400,162.8300,2959265
2015-11-20,164.1600,164.4700,162.7500,163.1000,2051047
2015-11-23,163.5300,163.9000,162.7300,163.4500,1174280
2015-11-24,162.2600,163.9200,161.0000,162.1900,2799458
2015-11-25,162.0400,162.9956,161.1400,162.3900,1828003
2015-11-27,163.1100,164.4100,162.4900,163.5800,866279
2015-11-30,164.1700,164.4400,160.7900,161.4200,3063831
2015-12-01,162.0200,163.0400,160.7400,161.2900,1939747
2015-12-02,161.7100,162.4400,160.6300,161.0900,1585668
2015-12-03,164.5100,166.1000,163.3100,163.6700,3439954
2015-12-04,164.1200,167.2400,164.0100,166.8000,2578560
2015-12-07,167.3300,167.4999,165.5500,167.1200,2791904
2015-12-08,166.7400,169.7300,165.8700,168.8700,3158481
2015-12-09,162.7200,163.8900,158.2200,159.7200,9527026
2015-12-10,160.9300,163.4100,160.6110,161.8600,3653253
2015-12-11,159.7300,161.2000,159.3600,160.0200,2511206
2015-12-14,160.0900,161.8800,159.4100,161.8400,2434039
2015-12-15,163.3200,163.7400,160.7200,161.2900,2378746
2015-12-16,161.9500,163.2528,160.0000,162.7600,2196261
2015-12-17,162.4400,163.5800,160.6000,160.6800,1704232
2015-12-18,159.7900,160.6800,157.6000,157.7000,4295780
2015-12-21,158.8100,159.4300,157.3300,159.3900,1453487
2015-12-22,159.9000,161.3900,159.0300,161.2300,1742060
2015-12-23,162.4300,162.4300,160.7800,161.7100,1580959
2015-12-24,161.8500,162.3300,161.4400,161.7500,491044
2015-12-28,161.0500,162.2600,160.4000,161.1600,1124723
2015-12-29,161.9000,163.2300,161.5201,162.6600,1169600
2015-12-30,162.9600,163.4500,162.5100,162.7100,889858
2015-12-31,162.0800,164.0000,161.5000,161.5000,1873399
2016-01-04,159.8100,160.1000,157.8650,159.5400,2640789
2016-01-05,160.1700,161.2280,159.4500,159.9300,2127674
2016-01-06,158.3600,159.8000,157.6300,158.4500,2033414
2016-01-07,154.8500,157.0600,153.5500,154.8200,3826032
2016-01-08,155.2800,155.3000,151.8100,152.1100,3156190
2016-01-11,152.3000,155.9600,152.1200,154.7200,2164781
2016-01-12,155.7100,156.4300,154.9400,156.0550,2215581
2016-01-13,155.9700,156.0200,151.8800,152.1200,2157501
2016-01-14,151.9600,154.1600,151.3300,153.1800,2281478
2016-01-15,149.2900,151.5200,148.2500,150.3900,2975372
2016-01-19,151.7900,152.0000,149.5800,150.4700,2242568
2016-01-20,148.4600,150.0000,144.9100,148.8200,3796826
2016-01-21,148.9700,151.2400,148.1100,150.3800,2212441
2016-01-22,152.1800,153.7100,151.6500,153.6900,2544068
2016-01-25,154.0700,154.4800,150.5545,150.7800,1820623
2016-01-26,150.7800,151.7200,148.3001,148.5000,2828570
2016-01-27,149.2900,149.5900,146.7200,147.7300,2189485
2016-01-28,148.5500,149.9700,147.8100,149.5900,2076251
2016-01-29,149.5000,151.6200,146.9100,151.1200,3221346
2016-02-01,150.8400,152.1900,150.1900,151.2500,2142044
2016-02-02,149.9900,150.7900,148.1100,148.5000,1931427
2016-02-03,149.2800,149.9800,145.4500,146.7000,2547038
2016-02-04,145.0000,145.1378,141.7900,143.2800,5340490
2016-02-05,143.2700,145.2000,142.4000,143.9900,4079344
2016-02-08,142.7400,147.5500,141.6200,147.0200,3782043
2016-02-09,146.2400,149.7200,146.2300,147.9400,3228334
2016-02-10,149.3700,150.1700,147.5800,148.0500,2189557
2016-02-11,147.1300,148.3900,144.7600,146.6500,2198097
2016-02-12,147.9800,149.2700,147.0000,148.6500,1951826
2016-02-16,149.3500,150.6410,147.7000,149.1100,2186423
2016-02-17,149.7500,151.9800,148.9100,150.9100,2174598
2016-02-18,149.1300,149.8397,146.8200,148.6500,2894302
2016-02-19,149.0000,149.1400,146.8500,148.7000,2471711
2016-02-22,149.6300,150.1800,148.4900,150.0600,2161275
2016-02-23,149.8900,151.7600,149.1200,150.3600,1850645
2016-02-24,150.0300,154.4099,149.6585,153.8700,2590074
2016-02-25,154.6900,154.8800,152.8600,154.7200,1746889
2016-02-26,153.0900,153.4100,148.7600,149.6800,3800789
2016-02-29,149.9900,152.3000,149.6900,150.0300,3123546
2016-03-01,150.4000,151.2000,149.3800,150.5200,2681404
2016-03-02,151.1300,152.9500,150.3900,152.7900,2947574
2016-03-03,148.5600,151.9595,147.3800,151.6000,5552633
2016-03-04,151.7400,151.7690,150.0300,150.9000,2155572
2016-03-07,149.9600,150.8900,147.6000,148.1700,3165743
2016-03-08,147.6600,151.9200,147.1000,150.9500,3079305
2016-03-09,151.3500,153.5000,151.3100,153.0500,2395294
2016-03-10,153.2100,154.6900,151.0500,152.8700,1413364
2016-03-11,153.8500,153.9999,151.4000,152.7100,1829936
2016-03-14,152.2600,153.3000,151.6500,152.6700,1218407
2016-03-15,151.8000,154.4200,151.8000,154.1800,1399036
2016-03-16,153.7000,155.0000,152.6300,154.0600,1485483
2016-03-17,153.8200,154.7400,153.5900,153.8400,1583525
2016-03-18,154.5800,154.7000,152.7700,153.1500,3611696
2016-03-21,152.8200,154.3500,152.4700,153.9400,1367376
2016-03-22,153.2100,153.8050,152.0000,152.2300,1943110
2016-03-23,152.1800,153.9300,151.6400,153.5100,2127269
2016-03-24,153.2400,154.0800,150.8500,151.4300,2506494
2016-03-28,151.8000,153.9400,151.7800,152.6700,1767422
2016-03-29,152.7700,155.4600,152.5200,155.2600,1655948
2016-03-30,155.9100,158.2400,155.6500,157.6000,2642666
2016-03-31,157.9600,159.8000,157.5200,157.5800,2692398
2016-04-01,157.8700,159.0870,157.0000,158.2500,1531803
2016-04-04,158.6800,158.9900,156.4601,157.7300,1458737
2016-04-05,157.8900,158.0000,155.7150,155.9900,1855613
2016-04-06,155.8100,157.4100,155.2200,156.7700,1572623
2016-04-07,154.4200,154.5800,151.4800,152.0300,4050063
2016-04-08,152.9800,152.9800,150.9200,151.6500,2008484
2016-04-11,151.3400,151.9400,148.9650,149.0500,2278997
2016-04-12,149.6000,150.6800,148.5100,150.5200,2268547
2016-04-13,151.5700,152.0800,150.5900,151.8800,2079230
2016-04-14,152.5900,152.9100,151.1400,151.4000,2419999
2016-04-15,151.9600,153.8100,151.8390,153.1700,2675923
2016-04-18,152.7800,153.7100,152.2700,153.3000,1335762
2016-04-19,153.7800,153.9000,152.4900,153.6800,1579018
2016-04-20,153.7200,153.8900,152.6000,152.7400,1308764
2016-04-21,152.4900,152.7350,150.6900,151.4200,2097632
