date,open,high,low,close,volume
2015-10-27,99.9200,100.9000,99.7000,100.1900,8883154
2015-10-28,100.4500,100.4800,99.5000,100.4800,7256217
2015-10-29,100.4700,101.5300,100.1200,101.3700,6340702
2015-10-30,101.5300,102.1200,101.0100,101.0300,10520339
2015-11-02,101.1800,102.3400,100.8400,102.1700,6297929
2015-11-03,101.8400,102.3000,101.1100,101.9600,6229002
2015-11-04,101.9000,102.3900,101.6900,101.9400,5592309
2015-11-05,102.2500,102.4900,101.4200,102.3300,6545575
2015-11-06,101.5700,101.9200,100.8600,101.9200,6220880
2015-11-09,101.3900,101.5900,100.5500,100.8400,6625850
2015-11-10,101.0000,101.7600,100.6800,101.4500,5114204
2015-11-11,101.7800,102.3550,101.5000,101.8600,6284749
2015-11-12,101.1400,101.6050,100.2200,100.2700,6918621
2015-11-13,100.0400,100.9400,99.7400,99.8800,8517437
2015-11-16,100.3800,101.2900,100.0400,101.2200,5755304
2015-11-17,101.3400,101.7100,100.8800,101.5000,5123925
2015-11-18,101.5300,102.8000,101.3100,102.6700,7146029
2015-11-19,102.6600,102.6800,102.0600,102.4900,5162070
2015-11-20,102.4900,102.8000,102.2000,102.4800,7671207
2015-11-23,102.3900,103.0000,102.1900,102.7700,6730405
2015-11-24,101.8100,102.7900,101.8100,102.0400,7492381
2015-11-25,102.1700,102.3300,101.9600,101.9600,5401443
2015-11-27,102.2800,102.6200,101.7900,102.3700,2353779
2015-11-30,102.4800,102.4800,101.2400,101.2400,8974353
2015-12-01,101.7300,102.4900,101.1200,102.3600,7545986
2015-12-02,102.5000,102.9300,101.9900,102.0500,6623500
2015-12-03,102.2700,102.3700,100.3100,100.7900,12008737
2015-12-04,101.4000,103.0000,101.2800,102.9500,7843509
2015-12-07,102.6100,103.4900,102.6000,103.3200,7262911
2015-12-08,102.9800,103.2400,101.9103,102.4200,8005242
2015-12-09,102.1400,103.3400,101.6700,102.1500,7947010
2015-12-10,102.3000,103.3400,101.8000,102.6400,6476936
2015-12-11,102.3700,102.3700,101.4300,101.6800,7796497
2015-12-14,101.6450,102.2900,100.7800,102.1500,10640583
2015-12-15,102.6500,104.6900,102.6500,104.1300,9283193
2015-12-16,104.6400,105.4900,103.5200,105.2500,8178806
2015-12-17,105.1600,105.2600,103.6300,103.6400,8740832
2015-12-18,103.0800,103.0800,101.9500,101.9500,14905454
2015-12-21,102.3400,102.9200,100.8500,101.5800,8321937
2015-12-22,101.9100,102.8800,101.1500,102.7100,5581632
2015-12-23,103.1100,103.6700,102.7400,103.4900,5531571
2015-12-24,103.1200,103.9100,103.0100,103.7200,2546278
2015-12-28,103.1800,103.4700,102.9250,103.2200,4062956
2015-12-29,103.3400,104.1850,103.3400,104.0300,4229973
