date,open,high,low,close,volume
2015-10-27,63.5300,63.8600,63.3135,63.6400,8831857
2015-10-28,63.7000,65.7400,63.6900,65.5000,17959901
2015-10-29,65.2600,65.8300,64.8800,65.2100,12752676
2015-10-30,65.3000,65.3400,64.1300,64.2500,15731415
2015-11-02,64.4500,65.7500,64.3900,65.5400,15252402
2015-11-03,65.2900,66.1000,65.1700,65.7800,11519476
2015-11-04,66.0100,66.1500,65.6300,65.8500,11388297
2015-11-05,65.7900,66.6700,65.7500,66.4400,12715177
2015-11-06,68.3700,69.0300,68.1000,68.4600,23259713
2015-11-09,68.7000,68.7200,67.0800,67.3900,17143653
2015-11-10,67.1900,67.8500,66.9300,67.6800,13237225
2015-11-11,68.1000,68.1700,67.2500,67.3500,8513925
2015-11-12,66.8600,66.9000,65.9500,66.0000,13575820
2015-11-13,65.8400,66.1700,65.2300,65.5600,11825836
2015-11-16,65.4600,66.5800,65.1700,66.5100,11041091
2015-11-17,66.6700,66.7400,65.8900,66.1300,12354394
2015-11-18,66.4800,67.5500,66.3700,67.4500,12910083
2015-11-19,67.5800,67.8200,67.0400,67.6600,12839394
2015-11-20,67.9900,68.1100,67.3750,67.5400,11209466
2015-11-23,67.3100,67.5800,66.7800,66.8800,11338963
2015-11-24,66.1700,67.1400,66.0400,66.7800,10910042
2015-11-25,66.9300,67.1200,66.5500,66.8600,7772026
2015-11-27,67.0000,67.3264,66.6400,67.1700,4052853
2015-11-30,67.2800,67.5200,66.6800,66.6800,15139836
2015-12-01,67.3400,67.8300,66.9900,67.6100,12707388
2015-12-02,67.8300,67.8800,66.4800,66.6600,13440656
2015-12-03,66.8300,67.0300,65.5800,65.8000,14625381
2015-12-04,66.1000,67.9950,66.0300,67.8900,17786014
2015-12-07,67.6600,67.7500,66.4000,67.0000,11685333
2015-12-08,66.2500,66.9600,65.7000,65.9600,13083754
2015-12-09,65.6100,66.5850,65.0400,65.4600,16770188
2015-12-10,65.5400,66.4950,65.0800,65.6100,12838276
2015-12-11,64.8000,65.1600,63.5102,64.0700,17889163
2015-12-14,64.2270,64.7550,63.6000,64.2700,17633059
