date,open,high,low,close,volume
2015-10-27,99.3500,99.4700,97.8400,98.4300,3789254
2015-10-28,98.7300,100.1300,98.3600,100.0900,4582460
2015-10-29,99.8800,101.6500,99.0000,100.5900,4940197
2015-10-30,100.7700,101.0000,98.7200,98.9900,5538972
2015-11-02,98.9000,99.6700,98.6900,99.3800,5480711
2015-11-03,99.4500,100.5500,99.0099,100.1200,4497470
2015-11-04,100.1000,100.6900,99.5100,100.5200,3292176
2015-11-05,100.0000,101.2000,99.8100,100.6900,3032346
2015-11-06,100.8000,101.5100,100.2675,101.5000,4333163
2015-11-09,101.0400,101.1700,99.8000,100.4700,3722708
2015-11-10,99.9700,100.7700,99.8200,100.6500,2991715
2015-11-11,101.2900,101.7600,100.7600,100.8800,4667205
2015-11-12,100.8100,100.8100,98.2600,98.2800,5274467
2015-11-13,98.0900,98.5000,96.6895,96.8600,4361016
2015-11-16,96.5700,98.3600,96.5000,98.3000,3979513
2015-11-17,98.5600,99.0200,97.8100,98.0700,3767296
2015-11-18,98.4300,99.2200,98.1300,99.1600,4502203
2015-11-19,99.0100,99.2560,98.3500,98.9300,3620484
2015-11-20,99.4200,100.1500,99.2700,99.5000,3320800
2015-11-23,99.9600,99.9600,99.0600,99.3700,2115854
2015-11-24,98.7300,98.9200,97.5600,98.5000,2588417
2015-11-25,98.5400,98.8400,98.0600,98.1600,2196176
2015-11-27,98.2800,98.9500,98.2650,98.6700,1502598
2015-11-30,98.8000,98.8900,97.9200,97.9200,3845847
2015-12-01,98.2100,98.6700,97.1700,97.9300,4891120
2015-12-02,97.7400,97.9990,96.9100,97.1000,3584225
2015-12-03,97.3300,97.9500,95.7000,95.9600,3478681
2015-12-04,96.4300,98.7000,96.2400,98.7000,3867843
2015-12-07,98.3000,98.6900,97.4300,97.8200,2855616
2015-12-08,97.1800,98.5700,96.7600,98.1800,3663943
2015-12-09,98.6100,99.9300,97.4900,97.8200,5111255
2015-12-10,98.1200,98.6600,97.4500,97.6100,2907936
2015-12-11,96.1200,96.6800,94.5000,94.8300,4558288
2015-12-14,95.0800,96.3100,94.7000,96.3000,3927527
2015-12-15,97.4000,98.8600,97.2800,98.4300,4579879
2015-12-16,99.6500,100.2900,98.8900,100.0400,4493626
2015-12-17,100.5400,100.8000,99.2600,99.3300,4581159
2015-12-18,98.6400,98.9300,96.2050,96.2900,6028670
2015-12-21,96.9100,97.7399,96.2300,97.0400,2748392
2015-12-22,97.5100,97.7900,96.7800,97.5400,3341822
2015-12-23,97.9400,98.8800,97.7100,98.7300,2054162
2015-12-24,98.7800,99.1100,98.3100,98.5900,932729
2015-12-28,98.1500,98.6200,97.8600,98.5300,1673416
2015-12-29,99.2300,99.9900,99.2300,99.7200,2362253
2015-12-30,99.6700,99.9650,98.7300,98.8700,1856733
2015-12-31,98.2500,98.8600,97.3600,97.3600,3218984
2016-01-04,95.3700,95.5900,93.7200,94.8100,6378566
2016-01-05,95.3800,95.8300,94.4100,94.9900,4352541
2016-01-06,93.4900,94.3900,92.9800,93.3500,4370013
2016-01-07,91.5600,92.3700,90.6835,91.6400,6599769
2016-01-08,91.9700,92.2400,89.7200,89.8900,5911680
2016-01-11,90.2500,91.1000,89.2900,90.5800,5845545
2016-01-12,91.6100,91.8700,90.1200,91.4400,4440732
2016-01-13,92.0700,92.1500,88.7500,89.1900,4894988
2016-01-14,89.4000,91.6900,89.1600,90.7100,6236253
2016-01-15,88.0900,89.2800,87.8200,88.7100,6459530
2016-01-19,89.5600,89.7400,85.4900,86.2200,10174734
2016-01-20,84.7100,85.9600,83.5200,85.1300,11672134
2016-01-21,85.2300,87.5299,84.5600,86.1200,5989652
2016-01-22,87.7300,88.8300,87.4000,88.0000,4911826
2016-01-25,88.0300,88.1900,86.6500,86.7700,5110337
2016-01-26,87.0000,87.5000,86.4000,87.0000,4872670
2016-01-27,86.8900,87.0500,84.3400,84.8100,6749257
2016-01-28,85.3400,85.6500,83.3500,83.4300,9168669
2016-01-29,81.4500,89.2500,81.0000,89.0300,16407595
