date,open,high,low,close,volume
2015-10-27,102.9400,104.1000,102.4000,103.7000,23795472
2015-10-28,103.9000,104.4800,102.9200,104.2000,24081515
2015-10-29,103.9600,105.1200,103.5200,104.8800,20316691
2015-10-30,104.5100,104.7200,101.6500,101.9700,33487104
2015-11-02,102.4600,103.4700,101.1800,103.3100,24003944
2015-11-03,103.2200,103.6500,102.4000,102.5800,21242341
2015-11-04,103.1900,104.1400,102.4800,103.9400,43469308
2015-11-05,108.8000,110.6500,107.9500,108.7600,63232861
2015-11-06,108.0400,108.7400,105.9100,107.0950,35084342
2015-11-09,107.0000,108.2500,105.8600,106.4900,26383540
2015-11-10,105.9600,108.1500,105.2400,107.9100,25031681
2015-11-11,108.2700,109.8700,107.1100,109.0100,25057099
2015-11-12,108.4800,109.3900,108.0000,108.0200,20924674
2015-11-13,107.7100,108.2500,103.8300,103.9500,30278403
2015-11-16,103.3200,104.1700,100.4700,104.0400,49309167
2015-11-17,104.6200,106.2000,104.1400,105.1300,26774146
2015-11-18,105.8000,107.8800,105.3900,107.7700,23836526
2015-11-19,107.3600,107.7300,105.9500,106.2600,25520599
2015-11-20,106.8400,107.8700,106.6200,107.3200,22129648
2015-11-23,107.1900,107.4680,106.0800,106.9500,19897220
2015-11-24,106.0000,106.4900,104.3900,105.7400,23577293
2015-11-25,106.3300,106.6000,105.1000,105.4100,15150785
2015-11-27,105.7800,105.9600,104.8600,105.4500,5913066
2015-11-30,105.8400,106.0999,103.7500,104.2400,20383179
2015-12-01,104.8300,107.1500,104.5000,107.1200,22781868
2015-12-02,107.0000,107.9200,105.7900,106.0700,24429063
2015-12-03,106.2700,106.8500,103.3500,104.3800,23236485
2015-12-04,104.8100,107.7300,104.1100,106.1800,21224721
2015-12-07,106.4800,106.8300,104.6600,105.6100,15474890
2015-12-08,104.0000,106.9100,103.9500,106.4900,20401791
2015-12-09,106.1800,106.4400,103.5500,104.6000,23517268
2015-12-10,105.0500,106.4000,104.4100,105.4200,17454312
2015-12-11,104.1500,104.3400,101.9100,102.1200,26427727
2015-12-14,102.2850,104.7400,101.4600,104.6600,24813496
2015-12-15,105.3000,105.8000,104.2800,104.5500,21764331
2015-12-16,105.3700,107.0900,104.1900,106.7900,22680547
2015-12-17,107.4900,107.7500,106.1300,106.2200,21675686
2015-12-18,106.0800,106.5900,103.9700,104.0400,35994199
2015-12-21,104.9100,105.1500,103.6000,104.7700,16138786
2015-12-22,105.2200,105.6601,104.8100,105.5100,14597122
2015-12-23,105.8900,106.1100,103.8600,104.6300,19599673
2015-12-24,104.7400,105.3200,104.5000,105.0200,6512134
2015-12-28,105.0200,105.9800,104.5300,105.9300,13069733
2015-12-29,106.4200,107.7400,106.2500,107.2600,17179901
2015-12-30,107.0000,107.2500,106.0600,106.2200,13115007
2015-12-31,106.0000,106.1700,104.6200,104.6600,18391064
2016-01-04,101.9500,102.2400,99.7500,102.2200,37912403
2016-01-05,102.8900,103.7099,101.6650,102.7300,23258238
2016-01-06,101.1300,103.7700,100.9000,102.9700,25096183
2016-01-07,100.5000,101.4300,97.3000,97.9200,45172906
2016-01-08,99.8800,100.5000,97.0311,97.3300,35402298
2016-01-11,97.9100,98.6000,95.3900,97.5100,29932385
2016-01-12,99.0000,99.9600,97.5500,99.3700,28395390
2016-01-13,100.5800,100.5800,95.2100,95.4400,33410553
2016-01-14,95.8500,98.8700,92.4500,98.3700,48658623
2016-01-15,93.9800,96.3800,93.5400,94.9700,46132781
2016-01-19,96.5300,97.4200,93.9200,95.2600,30998256
2016-01-20,92.8300,95.0000,89.3700,94.3500,59051429
2016-01-21,94.9100,95.9900,92.6200,94.1600,30518939
2016-01-22,96.4100,98.0700,95.4900,97.9400,30495387
2016-01-25,98.7200,99.4800,96.9300,97.0100,32482015
2016-01-26,97.7600,97.8800,95.6600,97.3400,26877080
2016-01-27,97.7900,97.8500,94.2300,94.4500,58699359
2016-01-28,107.2000,110.3400,104.8100,109.1100,107475327
2016-01-29,108.9900,112.8400,108.8400,112.2100,62739548
2016-02-01,112.2700,115.7200,112.0100,115.0900,46132726
2016-02-02,114.8000,117.5900,113.2000,114.6100,59778571
2016-02-03,115.2700,115.3407,109.7500,112.6900,56919324
2016-02-04,111.8000,111.9400,109.2500,110.4900,38890199
2016-02-05,109.5100,109.5800,103.1800,104.0700,76894741
2016-02-08,100.4100,102.6800,97.4600,99.7500,71229746
2016-02-09,97.1400,102.4000,96.8200,99.5400,62709018
2016-02-10,101.5500,103.2500,100.2400,101.0000,45179370
2016-02-11,99.6000,105.1100,98.8800,101.9100,43670634
2016-02-12,103.7400,104.2400,101.0900,102.0100,36176760
2016-02-16,103.8000,103.9300,100.2400,101.6100,45687224
2016-02-17,101.9400,105.7200,100.4000,105.2000,44073369
2016-02-18,105.8000,106.0000,103.0300,103.4700,29593508
2016-02-19,102.5500,105.0200,102.0600,104.5700,32404516
2016-02-22,105.4900,108.2500,105.3400,107.1600,35709714
2016-02-23,106.8500,107.4700,105.1200,105.4600,25319315
2016-02-24,104.2100,106.9500,102.7400,106.8800,34412437
2016-02-25,107.1100,108.0700,105.6100,108.0700,29906278
2016-02-26,108.7000,109.4500,107.1600,107.9200,26686193
2016-02-29,107.6000,108.9101,106.7500,106.9200,32778992
2016-03-01,107.8300,109.8200,107.6000,109.8200,26817309
2016-03-02,109.6800,110.5500,108.7700,109.9500,25670170
2016-03-03,110.2500,110.3000,108.5400,109.5800,21353092
2016-03-04,110.0500,110.0500,107.9300,108.3900,24938858
2016-03-07,108.0700,108.0700,104.7200,105.7300,31534055
2016-03-08,104.7800,107.3700,104.4000,105.9300,25204666
2016-03-09,106.7000,107.5100,105.4900,107.5100,20493305
2016-03-10,107.9100,108.6600,105.7699,107.3200,24854284
2016-03-11,108.4800,109.4200,107.9200,109.4100,20697553
2016-03-14,109.2800,110.3300,108.7700,109.8900,17249365
2016-03-15,109.1100,110.8300,108.8400,110.6700,17618460
2016-03-16,110.4900,112.5000,110.1000,112.1800,24744778
2016-03-17,112.1500,112.6900,110.7300,111.0200,24241247
2016-03-18,111.5600,112.4200,110.2700,111.4500,36256877
2016-03-21,111.6600,112.3700,111.0300,111.8500,18447974
2016-03-22,111.3600,112.8800,111.1700,112.2500,19001076
2016-03-23,112.0100,113.1900,112.0000,112.5400,18561974
2016-03-24,112.1300,113.0900,111.6800,113.0500,17839119
2016-03-28,113.3200,114.5889,112.9500,113.6900,21351751
2016-03-29,113.8300,116.3200,113.6400,116.1400,29825340
2016-03-30,116.7300,116.9900,114.3550,114.7000,33235184
2016-03-31,114.7000,115.0100,113.7682,114.1000,21207526
2016-04-01,113.7500,116.1700,113.3500,116.0600,24760504
2016-04-04,114.0700,114.5500,111.6100,112.5500,48487913
2016-04-05,112.1100,113.3200,111.9000,112.2200,22962365
2016-04-06,112.4700,113.8100,112.4200,113.7100,20814640
2016-04-07,113.7900,114.8900,113.0663,113.6400,20714537
2016-04-08,114.2500,114.3300,109.9000,110.6300,48497808
2016-04-11,110.7000,110.9100,108.7700,108.9900,39762304
2016-04-12,109.3400,111.1645,108.9900,110.6100,26248081
2016-04-13,112.2300,112.6500,106.5200,110.5100,88227393
2016-04-14,110.6200,112.0400,110.2600,110.8400,28473322
2016-04-15,110.7900,110.9700,109.2000,109.6400,20922803
2016-04-18,109.7400,110.8100,109.2000,110.4500,21167199
2016-04-19,111.1000,112.4500,109.1600,112.2900,30210455
2016-04-20,112.4300,113.2700,111.5600,112.4200,21027901
2016-04-21,112.5500,114.0400,112.3100,113.4400,20875230
2016-04-22,111.2100,111.7500,109.0100,110.5600,38458201
2016-04-25,109.8700,110.6700,109.0700,110.1000,21017895
2016-04-26,110.4900,110.5000,108.1500,108.7600,22521534
2016-04-27,107.9400,108.9400,106.3100,108.8900,52213107
2016-04-28,119.5750,120.7900,116.2300,116.7300,87110080
2016-04-29,116.8200,117.8400,115.8400,117.5800,37140594
2016-05-02,117.8300,118.7300,116.5700,118.5700,28095168
2016-05-03,117.5200,118.1600,117.0200,117.4300,24117463
2016-05-04,116.6100,118.3000,116.5700,118.0600,23448440
2016-05-05,118.0400,118.9800,117.2500,117.8100,22056749
2016-05-06,117.1600,119.6370,117.1127,119.4900,26395568
2016-05-09,119.5400,120.2800,118.9000,119.2400,21138059
2016-05-10,119.6200,120.5000,114.8000,120.5000,23220046
2016-05-11,120.4100,121.0800,119.4200,119.5200,22038396
2016-05-12,119.9800,120.8400,118.9000,120.2800,22035465
2016-05-13,120.3800,120.6400,119.6800,119.8100,18124286
2016-05-16,119.3800,119.6100,117.3500,118.6700,31247834
2016-05-17,118.8200,119.0100,117.2000,117.3500,21328648
2016-05-18,116.8000,118.2700,116.7300,117.6500,21642299
2016-05-19,117.0500,117.4900,115.8800,116.8100,20544109
2016-05-20,116.9600,117.9900,116.9500,117.3500,18944831
2016-05-23,117.4200,117.6000,115.9400,115.9700,20441004
2016-05-24,116.2400,117.7300,116.1200,117.7000,20183627
2016-05-25,118.1300,118.6650,117.3800,117.8900,20035494
2016-05-26,118.2400,119.7601,117.9200,119.4700,18481340
2016-05-27,119.5600,119.8500,119.0100,119.3800,13493563
2016-05-31,119.4600,120.1000,118.1210,118.8100,23547597
2016-06-01,118.5000,119.0800,117.8200,118.7800,15029494
2016-06-02,118.6900,135.6000,118.2200,118.9300,13228310
2016-06-03,118.9750,118.9800,117.8600,118.4700,14135114
2016-06-06,118.6200,119.4300,118.3600,118.7900,12744676
2016-06-07,119.2400,119.3000,117.6700,117.7600,17103023
2016-06-08,117.7600,118.6000,117.2700,118.3900,14505596
2016-06-09,118.1300,118.6800,117.7100,118.5600,13859240
2016-06-10,117.5400,118.1100,116.2600,116.6200,18510826
2016-06-13,115.0000,115.4800,113.3100,113.9500,31718239
2016-06-14,114.0700,114.9500,113.5800,114.9400,17618479
2016-06-15,115.3000,115.4400,114.0700,114.6000,19819432
2016-06-16,113.8700,114.5000,112.9400,114.3900,19236255
2016-06-17,114.4200,114.4300,112.5600,113.0200,24644308
2016-06-20,113.7700,114.7200,112.7500,113.3700,20785390
2016-06-21,114.1200,115.2142,113.9700,114.3800,19166269
2016-06-22,114.6500,114.7400,113.6100,113.9100,14846329
2016-06-23,114.3700,115.0900,113.5400,115.0800,16176895
2016-06-24,111.0100,113.6800,111.0000,112.0800,40643130
2016-06-27,111.5700,111.5700,108.2300,108.9700,36409606
2016-06-28,110.6300,112.7500,110.5500,112.7000,26813842
2016-06-29,113.3700,114.2500,113.0400,114.1600,20968273
2016-06-30,114.6700,115.1800,113.6700,114.2800,23192716
2016-07-01,114.2000,115.1300,113.8100,114.1900,14980023
2016-07-05,113.9400,114.1100,112.9700,114.0000,14207037
2016-07-06,113.3600,116.7900,112.9700,116.7000,24337586
2016-07-07,116.6300,116.9700,115.3600,115.8500,16630201
2016-07-08,116.4300,117.5000,115.8500,117.2400,18142597
2016-07-11,117.7100,118.7000,117.5000,117.8700,17711570
2016-07-12,118.6300,118.7200,117.5700,117.9300,15217700
2016-07-13,118.3900,118.4000,116.6800,116.7800,16207662
2016-07-14,117.5000,117.6400,116.7000,117.2900,14579736
2016-07-15,117.7400,118.2800,116.5800,116.8600,16645964
2016-07-18,117.3200,119.6100,116.8900,119.3700,20868367
2016-07-19,118.9900,120.8500,118.6600,120.6100,21541292
2016-07-20,121.2500,122.2000,120.5600,121.9200,20046452
2016-07-21,121.9200,122.1000,120.2500,120.6100,17801663
2016-07-22,119.9000,121.0100,119.3100,121.0000,18422410
2016-07-25,121.3900,121.8500,117.7800,121.6300,18487449
