date,open,high,low,close,volume
2015-10-27,102.5800,104.7200,101.2300,103.0700,12066402
2015-10-28,102.9000,106.2100,102.0600,105.8000,13093962
2015-10-29,105.0000,106.9100,104.7500,105.1200,9841406
2015-10-30,105.1200,110.1000,104.9000,108.3800,15571468
2015-11-02,109.2000,109.3700,106.3000,107.6400,11784573
2015-11-03,107.3600,111.0500,107.2400,109.7400,12484136
2015-11-04,110.3600,114.2800,109.3900,114.0500,17505023
2015-11-05,113.7500,115.6800,111.7200,113.5000,13814939
2015-11-06,113.3900,114.8000,112.0500,114.0600,10936608
2015-11-09,113.3600,114.0000,108.6400,109.8600,16154632
2015-11-10,108.8600,112.8400,108.0100,112.7000,11166372
2015-11-11,113.0800,114.6100,111.4100,112.8600,11039154
2015-11-12,112.5200,115.2500,108.2000,108.9200,17568163
2015-11-13,108.3400,109.0700,103.2700,103.6500,18819418
2015-11-16,102.9700,111.6500,101.8600,111.3500,19866161
2015-11-17,112.1100,118.7900,111.7000,117.1000,32971616
2015-11-18,117.9400,121.0000,116.1000,120.6300,23353565
2015-11-19,120.2500,123.1300,119.6100,120.2200,19253236
2015-11-20,120.8500,124.0700,119.2100,123.8400,17977001
2015-11-23,124.3000,126.2000,121.6600,125.0300,15726984
2015-11-24,123.6700,124.6600,120.0300,123.3100,18335255
2015-11-25,124.2300,125.2000,122.3600,124.1600,10980677
2015-11-27,123.8500,126.3900,123.5900,125.4400,6645484
2015-11-30,126.0300,126.6000,122.8900,123.3300,13894031
2015-12-01,124.4700,125.5700,122.4200,125.3700,12550755
2015-12-02,125.5300,131.3500,124.9300,128.9300,24105712
2015-12-03,129.6200,132.2000,126.3900,126.8100,26647260
2015-12-04,127.0000,130.9900,125.7500,130.9300,20250411
2015-12-07,131.1900,133.2700,122.7500,125.3600,23351610
2015-12-08,121.5100,128.2400,121.1000,126.9800,18591147
2015-12-09,127.7000,128.7800,122.3300,124.2000,17788797
2015-12-10,124.5000,125.2100,121.6200,122.9100,13474119
2015-12-11,121.4500,123.0000,118.6000,118.9100,16105315
2015-12-14,119.7700,120.9000,114.6600,120.6700,18735608
2015-12-15,121.9300,123.3000,118.5400,118.6000,11759993
2015-12-16,119.8000,123.0000,118.0900,122.6400,13180982
2015-12-17,123.9700,126.3500,122.4200,122.5100,17284872
2015-12-18,120.8500,122.1900,117.9200,118.0200,17948060
2015-12-21,119.5100,119.5900,115.6600,116.6300,11669993
2015-12-22,117.3000,117.4300,114.8600,116.2400,9689044
2015-12-23,116.9100,118.5600,115.7800,118.1600,9324333
2015-12-24,118.2200,118.8000,117.3000,117.3300,3541403
2015-12-28,117.2600,117.3500,113.8500,117.1100,8424276
2015-12-29,118.1900,119.6000,116.9200,119.1200,8159211
2015-12-30,118.9500,119.0200,116.4300,116.7100,8149686
2015-12-31,116.2100,117.4600,114.2800,114.3800,9273008
2016-01-04,109.0000,110.0000,105.2100,109.9600,20794848
2016-01-05,110.4500,110.5800,105.8500,107.6600,17664562
2016-01-06,105.2900,117.9100,104.9600,117.6800,33045656
2016-01-07,116.3600,122.1800,112.2900,114.5600,33636661
2016-01-08,116.3300,117.7200,111.1000,111.3900,18067140
2016-01-11,112.1300,116.7900,111.2000,114.9700,21920390
2016-01-12,116.1100,117.7800,115.0800,116.5800,15133522
2016-01-13,114.4300,114.4800,104.5300,106.5600,24921587
2016-01-14,105.6500,109.2500,101.2100,107.0600,23664784
2016-01-15,102.4300,105.5000,101.7200,104.0400,19775141
2016-01-19,106.5700,110.1400,105.5500,107.8900,35722752
2016-01-20,108.9100,109.9900,97.0501,107.7400,53009419
2016-01-21,108.3200,108.5100,102.1000,102.3500,31027503
2016-01-22,104.7225,104.9900,99.2200,100.7200,26821771
2016-01-25,99.7800,102.6800,99.0000,99.1200,20321102
2016-01-26,99.7400,100.5500,94.8500,97.8300,22083897
2016-01-27,96.6100,97.8495,90.5900,91.1500,25556187
2016-01-28,93.8400,95.2500,90.1100,94.4100,24562311
2016-01-29,92.0000,94.3900,90.6300,91.8400,20463895
2016-02-01,91.7900,97.1800,91.3000,94.0900,19684477
2016-02-02,95.5400,96.6500,90.7300,91.4900,21906495
2016-02-03,92.4100,92.6900,86.1400,90.7400,27466034
2016-02-04,89.5000,91.2500,86.5400,89.7100,19108600
2016-02-05,88.2300,88.9500,81.8600,82.7900,25929257
2016-02-08,80.5700,84.7000,79.9500,83.3200,25035634
2016-02-09,81.7500,88.4000,81.5500,86.1300,25892874
2016-02-10,89.0000,92.2100,87.4200,88.4500,23146517
2016-02-11,87.4200,88.3900,82.9110,86.3500,21820321
2016-02-12,86.6400,89.7200,85.2600,87.4000,19067683
2016-02-16,89.0000,90.1400,87.5400,89.0500,16356604
2016-02-17,90.1300,94.7700,89.6400,94.7600,18323834
2016-02-18,94.8000,94.9000,90.3100,90.4900,17695324
2016-02-19,89.9800,91.4000,88.0300,89.2300,14259205
2016-02-22,90.7500,93.1100,88.3000,91.9300,16321822
2016-02-23,91.4000,92.4900,89.0500,89.1200,12744428
2016-02-24,88.5000,91.7600,86.7000,91.6100,15972819
2016-02-25,91.0800,94.8100,90.2100,94.5300,17898777
2016-02-26,95.3000,97.4800,94.2500,94.7900,16975151
2016-02-29,94.8100,97.2000,93.3400,93.4100,13663080
2016-03-01,94.5800,99.1600,93.6100,98.3000,17048790
2016-03-02,98.0100,99.4800,95.9000,97.6100,19102849
2016-03-03,97.8300,98.3500,95.3900,97.9300,15320921
2016-03-04,98.7600,102.2200,98.3200,101.5800,23414622
2016-03-07,101.0000,101.7900,95.2500,95.4900,23906672
2016-03-08,95.0000,98.2800,94.5000,96.2300,14710898
2016-03-09,96.8200,98.3700,95.0000,98.0000,12298660
2016-03-10,98.1800,99.7400,95.4500,97.3600,17002063
2016-03-11,99.5100,99.6000,96.0500,97.6600,15114299
2016-03-14,97.2000,99.4200,97.1700,98.1300,11251874
2016-03-15,97.8700,98.5100,96.4300,97.8600,9691768
2016-03-16,97.5300,99.7300,97.5000,99.3500,12630530
2016-03-17,99.0500,101.3900,99.0000,99.7200,13824964
2016-03-18,100.5000,102.4100,100.0100,101.1200,15453454
2016-03-21,101.1500,102.1000,99.5000,101.0600,9578466
2016-03-22,100.4800,101.5200,99.2000,99.8400,9069905
2016-03-23,99.7500,100.3900,98.8100,99.5900,8313480
2016-03-24,98.6400,98.8500,97.0700,98.3600,10671139
2016-03-28,98.3400,101.4400,97.8200,101.2100,12432217
2016-03-29,101.0800,104.3300,101.0000,104.1300,16008868
