date,open,high,low,close,volume
2015-10-27,28.3200,28.6175,28.3000,28.4400,5206678
2015-10-28,28.6200,28.6700,28.2000,28.6700,5425852
2015-10-29,28.2100,28.5000,27.6300,27.6800,8179177
2015-10-30,27.9800,28.5700,27.7700,28.3700,7528965
2015-11-02,28.4600,28.7300,28.2900,28.7000,4752197
2015-11-03,28.5300,28.6900,28.1800,28.5000,9419230
2015-11-04,28.4200,28.6300,27.9000,28.0300,11056571
2015-11-05,28.1700,28.2450,27.6300,27.7100,11969974
2015-11-06,30.4500,31.9400,29.8200,31.5500,29306777
2015-11-09,31.2400,31.5000,30.9700,31.4100,12314225
2015-11-10,31.0000,31.1700,30.1501,30.8100,13806497
2015-11-11,30.8300,31.0500,30.4000,30.5100,15503157
2015-11-12,30.4400,30.7200,30.2700,30.4000,7277017
2015-11-13,30.4300,30.5600,29.6500,29.8000,7323501
2015-11-16,30.1900,30.4200,29.9500,30.4000,8607008
2015-11-17,30.4800,30.6600,30.2735,30.4000,6426163
2015-11-18,30.4100,31.0700,30.0750,31.0300,8755358
2015-11-19,31.1400,31.4300,30.8899,31.1200,6351803
2015-11-20,31.3500,31.5700,31.1600,31.3900,5993587
2015-11-23,31.6500,31.6500,30.8050,30.9200,6063751
2015-11-24,30.9200,31.4400,30.7800,31.1700,4885692
2015-11-25,31.1100,31.4800,31.0200,31.1300,3457476
2015-11-27,31.1900,31.4900,31.0300,31.3900,2175202
2015-11-30,31.4200,31.8600,31.3900,31.7200,8181080
2015-12-01,32.0000,32.7800,31.9700,32.7500,10237433
2015-12-02,32.8000,33.1400,32.4300,32.5000,7356004
2015-12-03,32.7600,33.1000,32.2700,32.4300,6166405
2015-12-04,32.4300,33.8100,32.4300,33.7500,11468924
2015-12-07,33.7400,33.7400,33.0100,33.1100,8339679
2015-12-08,32.7000,33.7000,32.4900,33.5600,7862233
2015-12-09,33.5500,33.7500,32.3700,32.7100,9316871
2015-12-10,32.8100,33.1600,32.7000,32.9800,5914923
2015-12-11,32.6500,32.8800,32.4200,32.4900,5683038
2015-12-14,32.5200,32.7500,32.1800,32.5700,6908645
2015-12-15,32.9400,33.2000,32.7600,32.9700,7682354
2015-12-16,33.0400,33.2800,32.7500,33.1700,5908874
2015-12-17,33.2200,33.5600,32.6500,32.6700,6354044
2015-12-18,32.4400,32.7700,32.1000,32.1400,9897424
2015-12-21,32.4900,32.9300,32.2000,32.8950,7105373
2015-12-22,33.0000,33.2600,32.7300,32.9300,3250269
2015-12-23,32.9800,33.1850,32.9200,33.0550,3063139
2015-12-24,32.9600,33.2500,32.9100,33.1700,1311231
2015-12-28,32.8200,33.1400,32.3600,33.1400,3550703
2015-12-29,33.1600,33.7800,33.0700,33.6800,5091512
2015-12-30,33.6500,33.9400,33.3800,33.3900,4508570
2015-12-31,33.3400,33.4900,32.9600,32.9600,3713202
2016-01-04,32.2900,32.5800,32.0400,32.3700,8951907
2016-01-05,32.9800,33.4400,32.5000,32.8900,12256814
2016-01-06,32.3500,32.5000,31.1600,31.5300,11233604
2016-01-07,30.7400,30.9530,29.8800,30.2800,16132575
2016-01-08,30.6700,30.7000,29.5650,29.6300,9961782
2016-01-11,29.6600,29.8900,29.1500,29.6800,10235095
2016-01-12,30.2100,30.6200,29.9700,30.1800,11733893
2016-01-13,30.4100,30.6100,29.2300,29.2600,12041762
2016-01-14,28.6600,29.0000,27.8200,28.6700,15005864
2016-01-15,27.5200,27.8500,26.6400,27.1100,21036303
2016-01-19,27.6700,28.4500,27.2150,27.3300,11428537
2016-01-20,26.8100,27.8300,26.4500,27.4800,12029457
2016-01-21,27.7800,28.2300,27.2100,27.8000,12036422
2016-01-22,28.3300,28.6400,28.2700,28.4500,6450312
2016-01-25,28.4400,28.7650,28.3550,28.4200,6768203
2016-01-26,28.4800,28.8200,28.1850,28.7000,5699182
2016-01-27,28.6600,28.7450,27.8150,28.3600,5792528
2016-01-28,28.5900,28.6900,27.5000,28.0500,6919451
2016-01-29,28.2900,29.3450,28.1800,29.2900,7762622
2016-02-01,29.2600,29.4500,29.0100,29.3000,7247099
2016-02-02,29.0000,29.1500,27.8600,28.0600,8547710
2016-02-03,28.2800,28.4500,27.5500,28.2000,8169351
2016-02-04,28.2400,28.8500,27.9300,28.2100,8703450
2016-02-05,28.0200,28.3300,26.3500,26.4300,15010685
2016-02-08,26.0300,26.1600,24.8500,25.2200,15221320
2016-02-09,24.9200,26.5500,24.8000,25.4900,10634314
2016-02-10,25.6500,26.3900,25.2900,25.4300,8394980
2016-02-11,24.7800,25.5600,24.7800,25.3000,8503635
2016-02-12,25.7000,25.7800,24.7500,25.7300,8520367
2016-02-16,26.1000,27.0300,26.0200,26.9900,12133795
2016-02-17,27.3300,27.9200,27.2200,27.6600,19286666
2016-02-18,29.9300,30.9750,29.9000,30.0400,26716489
2016-02-19,29.8800,30.7100,29.6500,30.4400,13140732
2016-02-22,30.8800,31.8700,30.8200,31.5200,11241697
2016-02-23,31.2700,31.9000,31.1200,31.6000,9234450
2016-02-24,31.4700,31.8679,30.6000,31.8200,8421336
2016-02-25,31.9400,32.0500,31.3200,31.8900,8740367
2016-02-26,32.0400,32.1162,31.3600,31.6800,9049073
2016-02-29,31.6100,32.0200,31.3400,31.3600,8083618
2016-03-01,31.4400,32.7500,31.3900,32.7500,8717512
2016-03-02,32.5700,33.0600,32.5100,32.9400,5845933
2016-03-03,32.9000,33.0400,32.2100,32.6500,7550088
2016-03-04,32.9000,32.9300,32.3000,32.5500,4382634
2016-03-07,32.3700,32.5900,31.9150,32.3400,6005495
2016-03-08,32.0100,32.2000,31.6450,31.7500,6644011
2016-03-09,32.0300,32.0750,31.3200,31.7300,5569737
2016-03-10,31.9200,32.1000,31.0400,31.6800,7152137
2016-03-11,32.1500,32.2300,31.7700,32.2200,6934986
2016-03-14,32.0700,32.4300,31.9200,32.3000,4757868
2016-03-15,32.1300,32.3400,31.5700,32.1400,5655420
2016-03-16,31.9000,33.2100,31.7500,33.1000,9091068
2016-03-17,32.9800,33.1400,32.3739,32.8200,8841959
2016-03-18,33.2100,34.2500,33.0000,33.8100,13637802
2016-03-21,33.5100,33.9200,33.1500,33.9100,8444539
2016-03-22,33.8000,34.0850,33.4300,33.8500,6050266
2016-03-23,34.0000,34.6800,33.8500,34.4300,10725171
2016-03-24,34.1200,34.5400,34.0100,34.4800,6123854
2016-03-28,34.4200,34.9800,34.3800,34.8300,6634700
2016-03-29,34.6800,35.4700,34.6000,35.3900,6545266
2016-03-30,35.5200,36.2500,35.5000,35.7600,9417474
2016-03-31,35.9200,36.0000,35.3500,35.6300,9497052
2016-04-01,35.4100,36.1700,35.1400,36.1500,8707319
2016-04-04,36.4500,36.6400,35.6600,35.8000,9848551
2016-04-05,35.4800,36.0800,35.3400,35.7500,8489215
2016-04-06,35.3000,35.8200,34.6300,35.8000,11334379
2016-04-07,35.5700,35.8900,35.2800,35.4300,9452644
2016-04-08,35.7200,35.9500,35.3050,35.6600,6398373
2016-04-11,35.8700,36.4700,35.7600,35.8800,9688098
2016-04-12,36.0000,36.0500,35.1400,35.8400,7319077
2016-04-13,36.0000,36.7500,36.0000,36.7400,8767861
2016-04-14,36.6400,37.0000,36.4900,36.8400,10414131
2016-04-15,36.8300,37.4600,36.7120,37.1300,10924273
2016-04-18,37.0600,37.0600,36.6100,36.9700,7683044
2016-04-19,37.1100,37.1800,36.0800,36.3100,7728777
2016-04-20,36.2500,36.6700,36.2100,36.4500,5004434
2016-04-21,36.4600,36.6300,36.2500,36.4100,4456989
2016-04-22,36.5300,36.7800,36.1450,36.2700,5588539
2016-04-25,36.2800,36.6500,36.1800,36.4500,4799765
2016-04-26,36.6700,37.0900,36.3200,36.4800,5363364
