date,open,high,low,close,volume
2015-10-27,38.3300,38.4500,38.0400,38.3400,14110454
2015-10-28,38.6300,38.8900,38.3700,38.8800,14019989
2015-10-29,38.5300,38.9100,38.5250,38.8600,11432860
2015-10-30,38.9200,39.0400,38.5000,38.8400,16471536
2015-11-02,39.0500,39.7800,38.9000,39.7500,19789618
2015-11-03,39.6900,40.2700,39.5800,40.2000,17153098
2015-11-04,40.3500,40.5700,40.0600,40.4800,16863143
2015-11-05,40.1600,40.6000,40.1500,40.3500,16358495
2015-11-06,40.3200,40.6400,40.1300,40.6200,16481502
2015-11-09,40.4100,40.5000,39.7800,40.1000,14604873
2015-11-10,39.8300,40.1700,39.7900,39.9200,11294021
2015-11-11,39.2400,39.6000,38.9800,39.0400,18861512
2015-11-12,38.6500,39.1050,38.5100,38.6300,14590012
2015-11-13,38.4800,38.6000,37.2200,37.3000,23987129
2015-11-16,37.6900,38.3900,37.5600,38.1200,16740998
2015-11-17,38.2300,38.5150,37.9700,38.1300,14819972
2015-11-18,38.1900,38.7300,38.1500,38.7000,11958895
2015-11-19,38.6700,39.3200,38.6200,39.0200,12306010
2015-11-20,39.2500,39.5750,39.2000,39.3400,12023190
2015-11-23,39.4400,39.5300,39.0500,39.1400,9111899
2015-11-24,38.7800,39.6200,38.7800,39.4600,13766246
2015-11-25,39.4700,39.6000,39.2450,39.2600,8014997
2015-11-27,39.1400,39.3400,39.0800,39.1800,6869874
2015-11-30,39.1100,39.2900,38.9700,38.9700,18939685
2015-12-01,39.0900,39.2750,38.9100,39.2300,12718191
2015-12-02,39.1500,39.3900,38.6500,38.7000,13694239
2015-12-03,38.9600,38.9600,37.7500,37.8100,20322432
2015-12-04,38.0200,39.2400,37.8750,39.1600,18206591
2015-12-07,39.1600,39.2399,38.5000,38.8200,13798471
2015-12-08,38.2900,38.8700,38.2600,38.7300,15219174
2015-12-09,38.6300,39.3500,38.3250,38.5800,17516146
2015-12-10,38.6100,38.8200,38.1100,38.1900,18358278
2015-12-11,37.6200,37.8500,37.0350,37.2100,20346816
2015-12-14,37.1500,37.6800,36.8500,37.6500,20134909
2015-12-15,38.1000,38.5300,37.9500,38.2100,19263508
2015-12-16,38.6700,39.1400,38.3450,38.9100,23463499
2015-12-17,38.0900,38.2000,36.5400,36.9300,42879939
2015-12-18,36.8900,37.0800,36.3100,36.3500,28648184
2015-12-21,36.7200,36.8400,36.1000,36.4200,15042213
2015-12-22,36.3900,36.7100,36.2500,36.5900,13924822
2015-12-23,36.6600,37.2150,36.6500,36.9300,12831771
2015-12-24,36.7300,37.2250,36.7300,37.0100,4953878
2015-12-28,36.8300,36.8600,36.4700,36.7900,10921929
2015-12-29,37.0200,37.2100,36.9800,37.0400,10708638
2015-12-30,37.0800,37.1600,36.8300,36.9200,9585554
2015-12-31,36.8400,36.9500,36.4300,36.5300,10332409
2016-01-04,36.0100,36.0100,35.3600,35.7500,18784386
2016-01-05,35.8600,36.1200,35.4900,35.6400,25328141
2016-01-06,35.5000,36.1350,35.3600,35.8200,18164654
2016-01-07,35.2500,35.6800,34.8800,35.0400,22590803
2016-01-08,35.1300,35.2800,34.6100,34.6500,21962204
