date,open,high,low,close,volume
2015-10-27,214.8400,217.1000,207.5100,210.3500,3519449
2015-10-28,211.3100,213.4500,208.3000,212.9600,2728593
2015-10-29,211.7500,213.7481,210.6400,211.6300,1805032
2015-10-30,210.4000,211.6300,203.8900,206.9300,4438901
2015-11-02,208.9200,215.8000,207.2200,213.7900,3927944
2015-11-03,213.8500,214.4400,207.7500,208.3500,8332486
2015-11-04,227.0000,232.7400,225.2000,231.6300,12726366
2015-11-05,230.5800,234.5843,229.1900,231.7700,4496843
2015-11-06,230.7000,233.3590,229.5000,232.3600,2445293
2015-11-09,232.9900,232.9900,224.3100,225.3300,3850860
2015-11-10,223.4800,223.7000,216.0800,216.5000,4617007
2015-11-11,217.7700,219.4800,213.6300,219.0800,3347806
2015-11-12,217.8500,219.0000,212.6600,212.9400,2915900
2015-11-13,212.9500,212.9900,206.5200,207.1900,3430327
2015-11-16,206.0900,214.9800,205.8000,214.3100,2925395
2015-11-17,215.2000,216.0000,211.4000,214.0000,2148326
2015-11-18,214.5000,221.3800,212.5200,221.0700,2811900
2015-11-19,220.5400,226.1900,220.3000,221.8000,2504375
2015-11-20,223.4900,225.0000,213.5800,220.0100,4400722
2015-11-23,217.3500,219.1800,214.6798,217.7500,2526199
2015-11-24,215.3700,221.0000,215.0000,218.2500,2480293
2015-11-25,221.3400,230.8250,220.3750,229.6400,3990779
2015-11-27,231.0600,232.2500,227.0100,231.6100,1949353
2015-11-30,231.7900,234.2800,229.0800,230.2600,2659813
2015-12-01,231.0600,238.0000,231.0500,237.1900,3733955
2015-12-02,237.0000,238.6000,231.2300,231.9900,2981468
2015-12-03,235.4800,237.4500,230.0000,232.7100,2939564
2015-12-04,232.4600,233.2700,227.6600,230.3800,2573603
2015-12-07,227.7000,235.6300,226.1500,231.1300,3144223
2015-12-08,227.5200,228.8000,224.2000,226.7200,2687636
2015-12-09,226.7000,227.5000,220.7200,224.5200,3057753
2015-12-10,224.7100,228.4900,223.6400,227.0700,2071692
2015-12-11,225.2400,225.7500,216.6400,217.0200,3268726
2015-12-14,217.5100,220.9200,214.8700,218.5800,2831518
2015-12-15,221.8200,222.2200,218.0000,221.0900,2244424
2015-12-16,222.1000,234.8800,220.7300,234.5100,5104341
2015-12-17,233.9400,237.7600,229.8149,233.3900,3298638
2015-12-18,232.8900,235.9000,229.2900,230.4600,3014170
2015-12-21,231.6900,235.8300,231.0800,232.5600,1953174
2015-12-22,234.9900,236.5500,229.6300,229.9500,1961495
2015-12-23,232.1800,233.4500,228.1300,229.7000,1554979
2015-12-24,230.5600,231.8800,228.2800,230.5700,710277
2015-12-28,231.4900,231.9800,225.5400,228.9500,1901304
2015-12-29,230.0600,237.7200,229.5470,237.1900,2406290
2015-12-30,236.6000,243.6340,235.6707,238.0900,3697921
2015-12-31,238.5100,243.4500,238.3700,240.0100,2715038
2016-01-04,230.7200,231.3800,219.0000,223.4100,6827146
