date,open,high,low,close,volume
2015-10-27,58.0100,58.0400,57.3800,57.4800,10510895
2015-10-28,57.6600,57.7200,57.1600,57.6400,11831556
2015-10-29,57.7200,58.1200,57.4800,57.9600,12848841
2015-10-30,57.7300,58.1200,57.2400,57.2400,15805451
2015-11-02,57.2900,57.6100,56.7700,57.6100,10717075
2015-11-03,57.5700,58.3300,57.5300,58.1100,10252041
2015-11-04,58.5800,58.7600,58.1900,58.3700,10055963
2015-11-05,58.5100,58.9800,58.4200,58.6100,8857377
2015-11-06,58.9200,59.2000,58.3100,58.7800,9977275
2015-11-09,58.5000,58.7800,58.0200,58.4900,8438147
2015-11-10,58.3100,58.7100,58.3100,58.6800,7613783
2015-11-11,58.5000,58.7300,57.4700,57.5800,8689874
2015-11-12,57.6400,57.7700,56.9200,56.9500,9549381
2015-11-13,56.7400,57.0600,56.3000,56.4200,12512234
2015-11-16,56.3900,58.0300,56.3600,57.8700,13317585
2015-11-17,59.3400,60.9000,59.2000,59.9200,24667384
2015-11-18,60.0400,61.0700,59.5500,60.9300,14875038
2015-11-19,61.1200,61.3600,60.4300,60.7000,11565970
2015-11-20,60.9800,61.4700,60.0200,60.0700,12371085
2015-11-23,60.2900,60.7350,59.8800,60.2600,10573864
2015-11-24,59.9500,60.4150,59.8600,59.9200,12451243
2015-11-25,60.0000,60.7100,59.8750,60.2400,7820553
2015-11-27,60.4400,60.6900,59.8700,59.8900,5340915
2015-11-30,59.8700,60.0600,58.7300,58.8400,14932896
2015-12-01,59.1300,59.2900,58.6500,58.9900,12200567
2015-12-02,58.6100,59.2900,58.3150,58.3500,13586715
2015-12-03,58.6900,59.6600,58.5950,59.0400,15844032
2015-12-04,59.0500,59.8500,59.0300,59.6600,10434874
2015-12-07,59.5700,60.7300,59.5700,60.5000,11595528
2015-12-08,60.0700,60.4900,59.5000,59.6100,10376845
2015-12-09,59.2600,60.1100,58.9000,59.1300,8981982
2015-12-10,59.1300,60.0900,59.0900,59.5600,11359321
2015-12-11,59.0500,59.5300,58.8100,59.3600,9744152
2015-12-14,59.3000,60.4400,59.0700,60.3900,14522962
