date,open,high,low,close,volume
2015-10-27,80.5700,81.1600,79.7300,81.0900,13576824
2015-10-28,81.3100,82.5800,80.9344,82.2800,12472748
2015-10-29,81.7900,83.2200,81.7900,82.2300,10334974
2015-10-30,82.4700,83.8800,81.2600,82.7400,18758594
2015-11-02,82.3000,85.9300,82.0900,85.2800,21265779
2015-11-03,85.6600,87.4350,85.5800,86.8500,20115562
2015-11-04,86.7700,87.0800,85.7000,85.9800,14243047
2015-11-05,85.5500,86.2300,84.5000,84.8100,12291074
2015-11-06,83.9300,84.4700,83.2200,84.4700,12488207
2015-11-09,83.5600,83.5992,81.8000,81.9500,13550598
2015-11-10,81.9300,82.6100,81.8600,82.3500,14236006
2015-11-11,82.4200,82.5600,81.4000,81.6200,9598043
2015-11-12,80.5700,81.2800,79.3200,79.4100,16048588
2015-11-13,79.2800,79.5800,77.9400,78.1000,17524553
2015-11-16,77.9400,80.9900,77.9100,80.9000,14546153
2015-11-17,80.7100,80.8800,79.6300,79.9600,10010744
2015-11-18,79.8900,80.9000,79.5900,80.7400,10884384
2015-11-19,80.5100,80.7800,80.0400,80.3000,9452859
2015-11-20,80.5700,80.9450,79.6500,79.7900,10144398
2015-11-23,79.6000,80.7090,79.0600,80.2800,11868403
2015-11-24,80.3500,82.3500,80.2000,81.8800,15052912
2015-11-25,81.3000,82.1700,81.1000,81.2500,8980425
2015-11-27,80.5800,81.2600,80.4600,81.2300,4156645
2015-11-30,81.4200,82.6500,81.2500,81.6600,17714275
2015-12-01,81.7600,82.1300,81.2700,81.8900,13916981
2015-12-02,81.3100,81.6400,79.4200,79.5500,16299331
2015-12-03,79.7200,79.8500,78.0200,78.4100,14868257
2015-12-04,77.3500,78.9800,77.0335,78.8600,20156434
2015-12-07,77.3300,77.5000,75.7500,76.8000,17674886
2015-12-08,75.2700,76.3500,73.7900,74.6300,24208322
2015-12-09,74.8400,77.1900,74.7300,75.6300,22036336
2015-12-10,75.8000,77.5000,75.5200,75.6900,20133497
2015-12-11,74.8200,75.5400,74.3400,74.3400,20470858
2015-12-14,74.3000,76.2200,74.0900,76.0300,21973260
2015-12-15,77.4300,79.6000,77.3300,79.4300,24366833
2015-12-16,79.0400,79.6100,78.0000,79.1500,17232827
2015-12-17,79.0200,79.2300,77.9500,77.9600,17362915
2015-12-18,77.5700,78.7800,77.0600,77.2800,28772463
2015-12-21,77.7900,78.1038,76.6450,77.2600,14460450
2015-12-22,77.7000,77.9000,77.2100,77.6500,13854057
2015-12-23,78.6800,80.2200,78.3200,80.1900,15183230
2015-12-24,80.2700,80.2700,79.1211,79.3300,5848311
2015-12-28,78.1200,78.8600,77.9100,78.7400,9715843
2015-12-29,79.9900,80.0800,78.8400,79.1600,8838679
2015-12-30,78.3200,78.9900,77.9700,78.1100,9314640
2015-12-31,77.5100,78.4400,77.4300,77.9500,10285519
2016-01-04,77.5000,77.9400,76.4550,77.4600,20399059
2016-01-05,77.1900,78.1400,76.9223,78.1200,11992697
2016-01-06,76.6400,77.6400,76.5900,77.4700,18826600
2016-01-07,76.0600,77.9900,75.9000,76.2300,21262763
2016-01-08,76.3500,76.6500,74.5000,74.6900,19030532
2016-01-11,75.0100,75.1200,72.5600,73.6900,21352841
2016-01-12,74.1200,75.4200,73.1518,75.2000,21861073
2016-01-13,75.8500,77.0600,74.9400,75.6500,26052729
2016-01-14,76.2100,79.9200,75.8000,79.1200,33798811
2016-01-15,76.3300,78.1700,76.3000,77.5800,28338391
2016-01-19,77.9300,78.2400,75.1900,76.4000,22682994
2016-01-20,75.0700,75.7200,71.5500,73.1800,33278298
2016-01-21,73.1600,74.9900,72.6100,74.1000,22265445
2016-01-22,76.4200,76.7700,74.7200,76.5700,22529961
2016-01-25,75.7500,76.3400,73.9000,73.9800,17078023
2016-01-26,74.7700,76.7700,74.2500,76.7000,18720735
2016-01-27,76.0000,77.4699,74.7200,75.2900,18091944
2016-01-28,77.3500,77.6600,75.6200,76.9900,16157614
2016-01-29,76.7300,77.8500,76.2500,77.8500,25157887
2016-02-01,76.6600,76.7900,75.4398,76.2900,16749019
2016-02-02,74.1900,75.6200,73.5500,74.5900,21402041
2016-02-03,75.5300,78.5300,74.2600,78.4800,25861756
2016-02-04,78.5800,80.0000,77.5600,79.8300,23654675
2016-02-05,79.4000,80.1000,78.5700,80.0800,26718327
2016-02-08,79.3000,81.7800,78.9100,81.1600,26597212
2016-02-09,79.9800,80.6700,78.6900,80.0800,18416290
2016-02-10,79.7700,81.4500,79.2800,79.3500,16606110
2016-02-11,78.3400,80.1500,77.5800,79.6000,19329843
2016-02-12,80.0800,81.0700,79.8100,81.0300,16828829
2016-02-16,81.7000,81.8500,80.2800,81.2200,15911839
2016-02-17,81.6500,82.7750,81.1600,82.0000,17005008
2016-02-18,82.9000,83.0600,81.8600,82.4500,14873617
2016-02-19,82.1900,82.5500,80.9100,82.5000,13614898
2016-02-22,83.2100,83.4400,82.2000,82.3900,14594634
2016-02-23,81.9900,82.3700,80.8790,81.2300,11039235
2016-02-24,79.9100,81.7700,79.6700,81.5200,13772275
2016-02-25,81.5600,82.0700,80.0200,82.0100,13704791
2016-02-26,82.8900,83.0800,81.6900,81.7500,14341303
2016-02-29,81.8800,82.4000,80.0500,80.1500,18901018
2016-03-01,80.5600,81.7650,80.3200,81.2800,15729765
2016-03-02,80.9500,82.7200,80.3100,82.7000,14093902
2016-03-03,82.6600,82.7200,81.5400,82.4000,13215882
2016-03-04,82.6600,82.9699,81.7635,82.2900,18402402
2016-03-07,82.3100,84.4600,82.2100,84.4600,18945375
2016-03-08,84.0000,84.2100,82.4800,82.6300,13697861
2016-03-09,83.2200,83.8500,82.2400,82.4000,14137874
2016-03-10,82.4200,82.6600,80.9300,82.1800,15898124
2016-03-11,83.2200,83.5300,82.0050,82.1900,15369288
2016-03-14,81.4800,82.6400,81.0150,82.4100,13344495
2016-03-15,81.6000,82.8500,81.5200,82.8200,9213045
2016-03-16,83.0200,83.1600,81.9400,82.8700,11492063
2016-03-17,83.6800,84.6750,82.7200,84.1000,13672769
2016-03-18,84.5900,84.6000,83.2539,84.2000,19636734
2016-03-21,83.8400,84.1390,83.5000,83.6200,8384758
2016-03-22,83.0800,84.8600,83.0100,84.1200,13004442
2016-03-23,83.8600,84.2999,83.5200,83.7500,12746576
2016-03-24,82.9400,84.0250,82.9300,83.9800,9367799
2016-03-28,84.0300,84.3600,83.7000,84.2200,7490303
2016-03-29,83.6700,84.6134,83.1600,84.5300,9977887
2016-03-30,85.0300,85.0500,84.0000,84.5200,10806454
2016-03-31,84.0700,85.1000,83.5900,83.5900,13896061
2016-04-01,82.4000,83.3900,82.3900,82.9600,12235334
2016-04-04,83.0600,83.9000,82.7800,83.1600,8050167
2016-04-05,82.6100,83.1300,81.9900,82.2100,10443769
2016-04-06,82.6900,83.4600,82.3000,83.3100,9314923
2016-04-07,82.7600,83.1700,82.0500,82.3700,8266519
2016-04-08,83.3000,83.4500,82.8500,83.2100,9376167
2016-04-11,83.3300,84.2400,83.2800,83.3200,9916478
2016-04-12,83.6900,84.6300,83.3700,84.3500,9985798
2016-04-13,84.5000,84.9100,84.0400,84.8300,9234863
2016-04-14,85.0000,85.9000,84.7600,85.4300,10624892
2016-04-15,85.3000,85.6600,84.7800,84.9700,11280166
2016-04-18,83.8900,85.8600,83.8600,85.7800,9096476
2016-04-19,85.8500,86.3100,85.2200,86.2100,10354460
2016-04-20,86.2300,87.4400,85.9700,86.8000,15247074
2016-04-21,86.5900,87.8400,86.5700,86.7900,12075295
2016-04-22,87.2400,87.6400,86.8200,87.5300,9149893
2016-04-25,87.0900,87.4000,86.3520,87.3300,8076440
2016-04-26,87.7500,87.9400,87.0600,87.6300,9424563
2016-04-27,87.9500,88.7150,87.3300,88.4600,10463103
2016-04-28,87.8600,88.7750,87.5000,88.0300,11274753
2016-04-29,88.6800,89.7800,87.7400,88.4000,17881670
2016-05-02,88.2400,89.4765,88.0800,89.1300,10273739
2016-05-03,88.4000,88.6300,87.3550,88.1100,10137435
2016-05-04,88.3000,88.7400,87.6000,87.9400,10601085
2016-05-05,88.7600,88.9700,87.6201,88.0400,8717781
2016-05-06,87.4600,88.6815,87.4600,88.5100,7968354
2016-05-09,88.6000,88.7600,87.2300,88.5700,11157160
2016-05-10,88.9000,90.0000,88.8200,89.9900,12505442
2016-05-11,89.1600,89.6800,88.7200,88.8100,11652872
2016-05-12,89.8000,89.9300,89.1500,89.6700,10720384
2016-05-13,89.2800,89.6600,88.5100,88.6600,9721013
2016-05-16,89.2000,89.6700,89.0000,89.5700,8638664
2016-05-17,89.2700,89.9100,89.1600,89.5300,9834728
2016-05-18,89.8000,90.0000,88.6500,89.3500,9680277
2016-05-19,88.6100,90.1600,88.4500,90.1100,14397937
2016-05-20,90.3900,90.4000,89.3800,89.7400,13190675
2016-05-23,89.0000,89.9000,88.8201,89.6000,11766051
2016-05-24,89.8900,90.4000,89.5500,89.6700,10054325
2016-05-25,89.8500,90.3700,89.5900,90.2600,9581349
2016-05-26,90.2500,90.4600,89.2700,89.8000,7867824
2016-05-27,89.4000,90.0500,89.3200,90.0100,7505681
2016-05-31,90.0000,90.2000,88.7300,89.0200,13178567
2016-06-01,88.4300,89.4500,88.1300,89.2400,7992594
2016-06-02,88.2100,88.5300,87.6100,88.5300,9837535
2016-06-03,88.4400,88.8300,88.0300,88.3700,9367092
2016-06-06,88.8700,89.5000,88.6900,89.3400,8572963
2016-06-07,89.7500,90.9200,89.7100,90.7100,12889082
2016-06-08,91.0300,91.3000,90.5300,90.7900,9982959
2016-06-09,90.1800,91.0300,90.1100,90.6700,8974331
2016-06-10,90.4000,90.9200,89.7801,89.9800,10353815
2016-06-13,89.9200,91.4300,89.7000,90.5900,11369949
2016-06-14,90.4500,90.8700,89.8500,90.4300,10160930
2016-06-15,90.2300,90.9000,90.0000,90.1600,10655028
2016-06-16,89.7000,91.3900,89.1100,91.2200,12822800
2016-06-17,91.4900,91.5900,90.1900,90.7200,17483223
2016-06-20,91.2900,91.5900,91.0700,91.1200,9388528
2016-06-21,90.7200,91.6400,90.2500,91.5300,8557121
2016-06-22,91.8400,91.9300,91.0050,91.1700,8783723
2016-06-23,91.9300,92.0700,91.1900,91.8000,9463030
2016-06-24,89.8800,90.8000,89.1500,89.3900,20010194
2016-06-27,88.9000,89.1000,88.1100,88.8600,14395728
2016-06-28,89.7300,90.9300,89.5200,90.9100,13253931
2016-06-29,91.4100,92.7000,91.1200,92.4600,13920631
2016-06-30,92.3300,93.8273,92.3000,93.7400,14073677
2016-07-01,93.3600,93.9800,93.0700,93.8400,9945263
2016-07-05,93.1200,93.6000,92.2500,93.0200,10743751
2016-07-06,93.3500,94.1200,92.4400,94.0900,13138763
2016-07-07,94.3400,94.4900,92.3500,92.9600,12240670
2016-07-08,93.3900,93.7800,92.9200,93.5400,9807645
2016-07-11,93.7500,94.4100,93.6500,93.8900,8335675
2016-07-12,94.6700,94.9500,94.0900,94.9500,9869613
2016-07-13,94.6500,94.9150,94.1100,94.8800,9455239
2016-07-14,95.0500,95.5300,94.6200,94.9500,9293380
2016-07-15,95.4400,95.5500,94.6400,95.1200,10334353
2016-07-18,94.9200,95.1500,94.4000,94.8200,9865850
2016-07-19,94.7600,94.9400,94.2000,94.4700,5901792
2016-07-20,94.2500,94.4161,93.8000,93.9300,7381889
2016-07-21,93.8900,94.2600,93.4600,93.8500,7756497
2016-07-22,94.1100,94.2940,93.7200,94.0100,7139681
2016-07-25,93.4700,93.6200,91.7600,92.2000,10840292
2016-07-26,91.6300,92.0300,91.1100,91.5300,12142648
2016-07-27,91.5100,91.8050,90.6300,90.9100,10037192
2016-07-28,90.5400,90.7300,89.6100,90.2000,12439249
2016-07-29,87.6100,89.0100,86.1200,88.9500,23927198
2016-08-01,88.0800,88.1500,85.5900,85.8600,22907046
2016-08-02,86.4500,87.3200,85.5800,87.0400,18919157
2016-08-03,87.0100,87.4900,86.6000,87.4900,14631501
2016-08-04,87.5000,87.6500,87.0300,87.4800,13451250
2016-08-05,87.7300,87.8300,87.1500,87.5600,9617289
2016-08-08,88.0500,88.8900,88.0300,88.5900,10492644
2016-08-09,88.6200,88.7600,88.1800,88.7000,9654554
2016-08-10,87.7800,87.9200,86.0100,86.4100,12714814
2016-08-11,86.6900,87.2700,86.2600,86.7200,11616032
2016-08-12,86.9600,87.9800,86.9000,87.8500,9986524
2016-08-15,88.4200,88.5000,87.6400,87.8100,6432580
2016-08-16,87.8300,88.1799,87.3700,87.9200,6817932
2016-08-17,87.9200,88.1800,87.6600,88.1100,7104115
2016-08-18,88.3800,88.9400,88.1200,88.9100,10342730
2016-08-19,88.6300,88.7400,87.7900,87.8000,8614984
2016-08-22,87.3100,88.1000,86.8450,87.9900,8235406
2016-08-23,87.8400,88.0200,87.5600,87.7200,6512486
2016-08-24,87.5000,88.1600,87.3500,88.0200,7981774
2016-08-25,88.0200,88.0300,87.2400,87.4600,6935161
2016-08-26,87.6300,88.1100,87.0000,87.2700,6474424
2016-08-29,87.0400,87.9200,87.0400,87.8400,7027099
2016-08-30,87.8700,88.2500,87.3650,87.5200,6440948
