Symbol,Date,Open,High,Low,Close,Volume
AAPL,2020-01-26,318.31,318.31,318.31,318.31,7155
AAPL,2020-01-27,318.31,318.31,306.51,308.95,28586
AAPL,2020-01-28,308.95,318.385,308.95,317.69,28599
AAPL,2020-01-29,317.69,327.83,317.69,324.34,28617
AAPL,2020-01-30,324.34,324.34,318.78,323.87,28633
AAPL,2020-01-31,323.87,323.87,308.43,309.51,21705
AAPL,2020-02-02,309.51,309.51,309.51,309.51,7008
AAPL,2020-02-03,309.51,313.45,302.5,308.66,28562
AAPL,2020-02-04,308.66,319.64,308.66,318.85,28584
AAPL,2020-02-05,318.85,324.76,318.85,321.45,28594
AAPL,2020-02-06,321.45,325.21,320.31,325.21,28560
AAPL,2020-02-07,325.21,325.21,318.24,320.03,20260
AAPL,2020-02-09,320.03,320.03,320.03,320.03,7105
AAPL,2020-02-10,320.03,321.55,314.12,321.55,28584
AAPL,2020-02-11,321.55,323.89,318.71,319.61,28578
AAPL,2020-02-12,319.61,327.21,319.61,327.2,28566
AAPL,2020-02-13,327.2,327.2,323.3538,324.87,28579
AAPL,2020-02-14,324.87,325.9755,322.88,324.95,20276
AAPL,2020-02-16,324.95,324.95,324.95,324.95,1
AAPL,2020-02-23,313.05,313.05,313.05,313.05,7154
AAPL,2020-02-24,313.05,313.05,290.6,298.18,27003
AAPL,2020-02-25,300.715,302.2551,286.26,288.08,15996
AAPL,2020-02-26,288.08,297.85,286.64,292.65,28325
AAPL,2020-02-27,292.65,292.65,273.04,273.52,28721
AAPL,2020-02-28,273.52,278.22,256.53,273.36,21168
AAPL,2020-03-01,273.36,273.36,273.36,273.36,7217
AAPL,2020-03-02,273.36,298.81,273.36,298.81,28800
AAPL,2020-03-03,298.81,303.96,285.85,289.32,28791
AAPL,2020-03-04,289.32,303.0,289.32,302.74,28800
AAPL,2020-03-05,302.74,302.74,291.44,292.92,28799
AAPL,2020-03-06,292.92,292.92,281.48,289.03,20492
AAPL,2020-03-08,289.03,289.03,289.03,289.03,7217
AAPL,2020-03-09,289.03,289.03,263.12,266.17,28800
AAPL,2020-03-10,266.17,285.34,266.17,285.34,28800
AAPL,2020-03-11,285.34,285.34,272.31,275.43,28799
AAPL,2020-03-12,275.43,275.43,248.1,248.23,20474
AAPL,2020-03-13,260.3183,277.97,254.6,277.97,5326
AAPL,2020-03-15,277.97,277.97,277.97,277.97,7214
AAPL,2020-03-16,277.97,277.97,240.0,242.21,28786
AAPL,2020-03-17,242.21,257.49,238.53,252.86,28794
AAPL,2020-03-18,252.86,252.86,237.17,246.67,28797
AAPL,2020-03-19,246.67,252.7437,242.66,244.78,28771
AAPL,2020-03-20,244.78,249.73,228.0655,229.24,9105
AAPL,2020-03-22,229.24,229.24,229.24,229.24,7217
AAPL,2020-03-23,229.24,229.24,212.77,224.37,28799
AAPL,2020-03-24,224.37,246.88,224.37,246.88,28800
AAPL,2020-03-25,246.88,257.9255,244.366,245.52,28799
AAPL,2020-03-26,245.52,258.46,245.52,258.44,28800
AAPL,2020-03-27,258.44,258.44,247.1,247.74,20420
AAPL,2020-03-29,247.74,247.74,247.74,247.74,7217
AAPL,2020-03-30,247.74,255.4,247.74,254.81,28800
AAPL,2020-03-31,254.81,262.48,252.02,254.29,28800
AAPL,2020-04-01,254.29,254.29,239.17,240.91,28799
AAPL,2020-04-02,240.91,245.0,236.97,244.93,28800
AAPL,2020-04-03,244.93,245.69,238.98,241.41,20420
AAPL,2020-04-05,241.41,241.41,241.41,241.41,7217
AAPL,2020-04-06,241.41,263.07,241.41,262.47,28800
AAPL,2020-04-07,262.47,271.34,259.02,259.43,28799
AAPL,2020-04-08,259.43,267.25,259.43,266.07,28799
AAPL,2020-04-09,266.07,270.0,264.73,267.99,23923
AAPL,2020-04-12,267.99,267.99,267.99,267.99,7217
AAPL,2020-04-13,267.99,273.43,265.86,273.25,28753
AAPL,2020-04-14,273.25,288.0199,273.25,287.05,28800
AAPL,2020-04-15,287.05,287.05,280.641,284.43,28800
AAPL,2020-04-16,284.43,288.1975,282.38,286.69,28800
AAPL,2020-04-17,286.69,286.92,276.89,282.8,28799
AAPL,2020-04-18,282.8,282.8,282.8,282.8,8768
AAPL,2020-04-19,282.8,282.8,282.8,282.8,7217
AAPL,2020-04-20,282.8,282.8,276.93,276.93,28800
AAPL,2020-04-21,276.93,277.1095,265.47,268.37,28799
AAPL,2020-04-22,268.37,277.65,268.37,276.1,28800
AAPL,2020-04-23,276.1,281.7398,275.01,275.03,28800
AAPL,2020-04-24,275.03,282.97,275.03,282.97,28800
AAPL,2020-04-25,282.97,282.97,282.97,282.97,10787
AAPL,2020-04-26,282.97,282.97,282.97,282.97,7217
AAPL,2020-04-27,282.97,284.5233,279.99,283.17,28800
AAPL,2020-04-28,283.17,285.7695,278.37,278.58,28800
AAPL,2020-04-29,278.58,289.56,278.58,287.73,28799
AAPL,2020-04-30,287.73,294.45,287.73,293.8,28800
AAPL,2020-05-01,293.8,298.96,286.0,289.07,24298
AAPL,2020-05-03,289.07,289.07,289.07,289.07,7217
AAPL,2020-05-04,289.07,293.66,286.36,293.16,28800
AAPL,2020-05-05,293.16,300.9999,293.16,297.56,28800
AAPL,2020-05-06,297.56,303.2301,297.56,300.63,28800
AAPL,2020-05-07,300.63,305.0986,300.63,303.74,28800
AAPL,2020-05-08,303.74,310.26,303.74,310.13,24065
AAPL,2020-05-10,310.13,310.13,310.13,310.13,7217
AAPL,2020-05-11,310.13,317.0,307.34,315.01,28800
AAPL,2020-05-12,315.01,319.68,310.94,311.41,28800
AAPL,2020-05-13,311.41,315.95,303.3301,307.65,28785
AAPL,2020-05-14,307.65,309.63,301.59,309.54,28799
AAPL,2020-05-15,309.54,309.54,300.3,307.71,28800
AAPL,2020-05-16,307.71,307.71,307.71,307.71,12848
AAPL,2020-05-17,307.71,307.71,307.71,307.71,7217
AAPL,2020-05-18,307.71,316.3511,307.71,314.96,28800
AAPL,2020-05-19,314.96,318.51,313.01,313.14,28800
AAPL,2020-05-20,313.14,319.52,313.14,319.23,28799
AAPL,2020-05-21,319.23,320.88,315.95,316.85,28800
AAPL,2020-05-22,316.85,319.16,315.4129,318.89,20420
AAPL,2020-05-24,318.89,318.89,318.89,318.89,7217
AAPL,2020-05-25,318.89,318.89,318.89,318.89,28792
