ticker,pattern_start_date,pattern_end_date,cup_start_date,cup_end_date,handle_start_date,handle_end_date,breakout_date,cup_depth_pct,handle_depth_pct,breakout_price,confidence_score
AAPL,2022-06-02,2022-07-28,2022-06-02,2022-07-21,2022-07-21,2022-07-26,2022-07-28,13.987170160703661,2.413904087544255,157.35,0.7
AAPL,2022-06-07,2022-07-28,2022-06-07,2022-07-21,2022-07-21,2022-07-26,2022-07-28,12.541187546230923,2.413904087544255,157.35,0.7
MSFT,2022-12-14,2023-03-16,2022-12-14,2023-02-14,2023-02-14,2023-03-01,2023-03-16,13.57203949926134,9.516111253995666,276.2,0.8
MSFT,2025-02-06,2025-05-01,2025-02-06,2025-04-09,2025-04-09,2025-04-21,2025-05-01,14.73233610696936,8.033496376347667,425.4,0.8
MSFT,2025-02-20,2025-05-01,2025-02-20,2025-04-09,2025-04-09,2025-04-21,2025-05-01,14.7958570638983,8.033496376347667,425.4,0.8
NVDA,2020-02-23,2020-04-29,2020-02-23,2020-04-16,2020-04-16,2020-04-21,2020-04-29,14.102084537695106,8.54767560230743,298.46,0.8
NVDA,2020-02-23,2020-04-29,2020-02-23,2020-04-16,2020-04-16,2020-04-21,2020-04-29,17.342809535144692,8.54767560230743,298.46,0.9
NVDA,2020-03-04,2020-04-29,2020-03-04,2020-04-16,2020-04-16,2020-04-21,2020-04-29,30.969034480334606,8.54767560230743,298.46,0.8
NVDA,2020-03-04,2020-04-29,2020-03-04,2020-04-16,2020-04-16,2020-04-21,2020-04-29,14.565393132051597,8.54767560230743,298.46,0.8
NVDA,2020-12-07,2021-04-01,2020-12-07,2021-03-17,2021-03-17,2021-03-25,2021-04-01,14.797802561228796,6.041412911084035,552.47,0.8
NVDA,2020-12-15,2021-04-01,2020-12-15,2021-03-17,2021-03-17,2021-03-25,2021-04-01,13.227424123348666,6.041412911084035,552.47,0.8
NVDA,2020-12-15,2021-04-01,2020-12-15,2021-03-22,2021-03-22,2021-03-25,2021-04-01,13.227424123348666,4.936960849369612,552.47,0.7
NVDA,2021-01-21,2021-04-07,2021-01-21,2021-03-17,2021-03-17,2021-03-25,2021-04-07,16.39985577789797,6.041412911084035,565.74,0.9
NVDA,2021-01-21,2021-04-07,2021-01-21,2021-03-22,2021-03-22,2021-03-25,2021-04-07,16.39985577789797,4.936960849369612,565.74,0.8
NVDA,2021-02-16,2021-05-25,2021-02-16,2021-04-26,2021-04-26,2021-05-13,2021-05-25,24.376640954974643,11.711784468277555,625.91,0.9
NVDA,2021-03-01,2021-04-05,2021-03-01,2021-03-22,2021-03-22,2021-03-25,2021-04-05,16.24433326710856,4.936960849369612,559.5,0.8
NVDA,2021-08-30,2021-10-25,2021-08-30,2021-10-07,2021-10-07,2021-10-12,2021-10-25,13.028913963328634,1.9169632265717638,231.66,0.7
NVDA,2021-09-23,2021-10-25,2021-09-23,2021-10-07,2021-10-07,2021-10-12,2021-10-25,12.23200782848501,1.9169632265717638,231.66,0.7
NVDA,2023-10-12,2024-01-08,2023-10-12,2023-12-18,2023-12-18,2024-01-03,2024-01-08,14.099478112685057,5.0082872376540095,522.53,0.8
NVDA,2024-07-22,2024-10-07,2024-07-22,2024-09-26,2024-09-26,2024-10-01,2024-10-07,19.93686255463818,5.675588519832317,127.72,0.9
NVDA,2024-07-31,2024-09-24,2024-07-31,2024-09-12,2024-09-12,2024-09-18,2024-09-24,15.475987010767389,4.843041799563536,120.87,0.8
NVDA,2024-07-31,2024-10-07,2024-07-31,2024-09-26,2024-09-26,2024-10-01,2024-10-07,15.475987010767389,5.675588519832317,127.72,0.9
NVDA,2024-08-19,2024-10-08,2024-08-19,2024-09-26,2024-09-26,2024-10-01,2024-10-08,12.79230769230769,5.675588519832317,132.89,0.8
QQQ,2022-06-02,2022-08-03,2022-06-02,2022-07-21,2022-07-21,2022-07-26,2022-08-03,13.674534003435337,4.232546034224735,322.89,0.7
QQQ,2022-06-07,2022-08-01,2022-06-07,2022-07-21,2022-07-21,2022-07-26,2022-08-01,12.418110820666737,4.232546034224735,315.27,0.7
QQQ,2025-03-25,2025-06-03,2025-03-25,2025-05-19,2025-05-19,2025-05-23,2025-06-03,15.685161917885946,2.4463132890174486,527.3,0.8
SPY,2025-04-02,2025-06-26,2025-04-02,2025-06-12,2025-06-12,2025-06-20,2025-06-26,12.05271735279529,1.568530020703938,611.87,0.7
